#1,#2,#3
5.24,5.03,5.18
5.16,4.98,5.12
5.09,4.91,5.06
5.04,4.85,5
4.99,4.79,4.93
4.94,4.73,4.87
4.89,4.67,4.81
4.84,4.61,4.74
4.79,4.55,4.68
4.74,4.49,4.62
4.69,4.44,4.57
4.64,4.39,4.51
4.6,4.34,4.46
4.55,4.29,4.41
4.51,4.24,4.36
4.47,4.2,4.31
4.43,4.15,4.26
4.38,4.11,4.22
4.34,4.07,4.17
4.3,4.07,4.13
4.27,4.18,4.09
4.22,4.26,4.09
4.19,4.28,4.18
4.15,4.29,4.25
4.12,4.29,4.28
4.13,4.28,4.29
4.21,4.28,4.29
4.27,4.27,4.28
4.29,4.27,4.28
4.3,4.26,4.27
4.3,4.25,4.27
4.29,4.25,4.26
4.29,4.24,4.25
4.28,4.23,4.25
4.28,,4.24
4.27,,4.23
4.27,,4.22
4.26,,
4.26,,
4.25,,
4.24,,
4.24,,
4.23,,
