Sept. 5, 2019   15:00:19
Cyclic Voltammetry
File: c:\users\1\desktop\2019Data Source:  Experiment
Instrument Model:  CHI630E
Header: 
Note: 

Init E (V) = 0.6
High E (V) = 0.6
Low E (V) = -0.2
Init P/N = N
Scan Rate (V/s) = 0.01
Segment = 2
Sample Interval (V) = 0.002
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:
Ep = 0.203V
ip = 1.104e-5A
Ah = 7.135e-5C

Segment 2:
Ep = 0.271V
ip = -1.153e-5A
Ah = -7.481e-5C

Potential/V, Current/A

0.599, -3.090e-6
0.597, -2.939e-6
0.595, -2.819e-6
0.593, -2.713e-6
0.591, -2.618e-6
0.589, -2.532e-6
0.587, -2.453e-6
0.585, -2.381e-6
0.583, -2.313e-6
0.581, -2.250e-6
0.579, -2.192e-6
0.577, -2.137e-6
0.575, -2.086e-6
0.573, -2.038e-6
0.571, -1.992e-6
0.569, -1.950e-6
0.567, -1.909e-6
0.565, -1.870e-6
0.563, -1.833e-6
0.561, -1.798e-6
0.559, -1.764e-6
0.557, -1.732e-6
0.555, -1.700e-6
0.553, -1.670e-6
0.551, -1.641e-6
0.549, -1.614e-6
0.547, -1.587e-6
0.545, -1.561e-6
0.543, -1.535e-6
0.541, -1.511e-6
0.539, -1.488e-6
0.537, -1.465e-6
0.535, -1.443e-6
0.533, -1.422e-6
0.531, -1.401e-6
0.529, -1.381e-6
0.527, -1.362e-6
0.525, -1.343e-6
0.523, -1.324e-6
0.521, -1.307e-6
0.519, -1.289e-6
0.517, -1.272e-6
0.515, -1.255e-6
0.513, -1.239e-6
0.511, -1.223e-6
0.509, -1.208e-6
0.507, -1.192e-6
0.505, -1.177e-6
0.503, -1.163e-6
0.501, -1.149e-6
0.499, -1.135e-6
0.497, -1.121e-6
0.495, -1.108e-6
0.493, -1.095e-6
0.491, -1.082e-6
0.489, -1.070e-6
0.487, -1.057e-6
0.485, -1.046e-6
0.483, -1.034e-6
0.481, -1.022e-6
0.479, -1.011e-6
0.477, -9.994e-7
0.475, -9.883e-7
0.473, -9.777e-7
0.471, -9.672e-7
0.469, -9.569e-7
0.467, -9.464e-7
0.465, -9.362e-7
0.463, -9.262e-7
0.461, -9.163e-7
0.459, -9.067e-7
0.457, -8.974e-7
0.455, -8.877e-7
0.453, -8.786e-7
0.451, -8.694e-7
0.449, -8.600e-7
0.447, -8.510e-7
0.445, -8.420e-7
0.443, -8.327e-7
0.441, -8.240e-7
0.439, -8.152e-7
0.437, -8.065e-7
0.435, -7.979e-7
0.433, -7.893e-7
0.431, -7.808e-7
0.429, -7.725e-7
0.427, -7.634e-7
0.425, -7.545e-7
0.423, -7.459e-7
0.421, -7.374e-7
0.419, -7.287e-7
0.417, -7.199e-7
0.415, -7.110e-7
0.413, -7.023e-7
0.411, -6.933e-7
0.409, -6.845e-7
0.407, -6.755e-7
0.405, -6.665e-7
0.403, -6.568e-7
0.401, -6.470e-7
0.399, -6.376e-7
0.397, -6.279e-7
0.395, -6.178e-7
0.393, -6.072e-7
0.391, -5.964e-7
0.389, -5.854e-7
0.387, -5.741e-7
0.385, -5.625e-7
0.383, -5.508e-7
0.381, -5.378e-7
0.379, -5.245e-7
0.377, -5.109e-7
0.375, -4.965e-7
0.373, -4.817e-7
0.371, -4.661e-7
0.369, -4.493e-7
0.367, -4.320e-7
0.365, -4.136e-7
0.363, -3.945e-7
0.361, -3.755e-7
0.359, -3.544e-7
0.357, -3.324e-7
0.355, -3.081e-7
0.353, -2.827e-7
0.351, -2.557e-7
0.349, -2.273e-7
0.347, -1.968e-7
0.345, -1.657e-7
0.343, -1.315e-7
0.341, -9.509e-8
0.339, -5.568e-8
0.337, -1.448e-8
0.335, 3.000e-8
0.333, 7.714e-8
0.331, 1.262e-7
0.329, 1.797e-7
0.327, 2.363e-7
0.325, 2.963e-7
0.323, 3.612e-7
0.321, 4.303e-7
0.319, 5.020e-7
0.317, 5.805e-7
0.315, 6.635e-7
0.313, 7.509e-7
0.311, 8.461e-7
0.309, 9.457e-7
0.307, 1.051e-6
0.305, 1.163e-6
0.303, 1.281e-6
0.301, 1.407e-6
0.299, 1.541e-6
0.297, 1.683e-6
0.295, 1.833e-6
0.293, 1.987e-6
0.291, 2.153e-6
0.289, 2.328e-6
0.287, 2.512e-6
0.285, 2.703e-6
0.283, 2.903e-6
0.281, 3.111e-6
0.279, 3.329e-6
0.277, 3.556e-6
0.275, 3.792e-6
0.273, 4.039e-6
0.271, 4.290e-6
0.269, 4.549e-6
0.267, 4.811e-6
0.265, 5.087e-6
0.263, 5.368e-6
0.261, 5.651e-6
0.259, 5.941e-6
0.257, 6.233e-6
0.255, 6.521e-6
0.253, 6.814e-6
0.251, 7.110e-6
0.249, 7.403e-6
0.247, 7.692e-6
0.245, 7.976e-6
0.243, 8.255e-6
0.241, 8.526e-6
0.239, 8.792e-6
0.237, 9.049e-6
0.235, 9.294e-6
0.233, 9.530e-6
0.231, 9.752e-6
0.229, 9.950e-6
0.227, 1.015e-5
0.225, 1.033e-5
0.223, 1.049e-5
0.221, 1.064e-5
0.219, 1.077e-5
0.217, 1.088e-5
0.215, 1.098e-5
0.213, 1.106e-5
0.211, 1.113e-5
0.209, 1.118e-5
0.207, 1.122e-5
0.205, 1.124e-5
0.203, 1.125e-5
0.201, 1.125e-5
0.199, 1.123e-5
0.197, 1.121e-5
0.195, 1.117e-5
0.193, 1.112e-5
0.191, 1.106e-5
0.189, 1.100e-5
0.187, 1.093e-5
0.185, 1.086e-5
0.183, 1.078e-5
0.181, 1.069e-5
0.179, 1.060e-5
0.177, 1.050e-5
0.175, 1.041e-5
0.173, 1.031e-5
0.171, 1.020e-5
0.169, 1.010e-5
0.167, 9.999e-6
0.165, 9.892e-6
0.163, 9.788e-6
0.161, 9.685e-6
0.159, 9.582e-6
0.157, 9.478e-6
0.155, 9.376e-6
0.153, 9.274e-6
0.151, 9.174e-6
0.149, 9.077e-6
0.147, 8.981e-6
0.145, 8.886e-6
0.143, 8.792e-6
0.141, 8.699e-6
0.139, 8.608e-6
0.137, 8.520e-6
0.135, 8.435e-6
0.133, 8.350e-6
0.131, 8.267e-6
0.129, 8.187e-6
0.127, 8.107e-6
0.125, 8.030e-6
0.123, 7.955e-6
0.121, 7.881e-6
0.119, 7.809e-6
0.117, 7.739e-6
0.115, 7.671e-6
0.113, 7.604e-6
0.111, 7.540e-6
0.109, 7.478e-6
0.107, 7.416e-6
0.105, 7.356e-6
0.103, 7.298e-6
0.101, 7.240e-6
0.099, 7.184e-6
0.097, 7.129e-6
0.095, 7.075e-6
0.093, 7.023e-6
0.091, 6.973e-6
0.089, 6.923e-6
0.087, 6.875e-6
0.085, 6.828e-6
0.083, 6.783e-6
0.081, 6.737e-6
0.079, 6.693e-6
0.077, 6.651e-6
0.075, 6.608e-6
0.073, 6.567e-6
0.071, 6.528e-6
0.069, 6.489e-6
0.067, 6.451e-6
0.065, 6.414e-6
0.063, 6.377e-6
0.061, 6.340e-6
0.059, 6.305e-6
0.057, 6.271e-6
0.055, 6.237e-6
0.053, 6.204e-6
0.051, 6.172e-6
0.049, 6.141e-6
0.047, 6.111e-6
0.045, 6.080e-6
0.043, 6.051e-6
0.041, 6.022e-6
0.039, 5.993e-6
0.037, 5.965e-6
0.035, 5.938e-6
0.033, 5.912e-6
0.031, 5.886e-6
0.029, 5.861e-6
0.027, 5.835e-6
0.025, 5.810e-6
0.023, 5.786e-6
0.021, 5.762e-6
0.019, 5.739e-6
0.017, 5.717e-6
0.015, 5.694e-6
0.013, 5.672e-6
0.011, 5.650e-6
0.009, 5.628e-6
0.007, 5.607e-6
0.005, 5.586e-6
0.003, 5.566e-6
0.001, 5.546e-6
-0.001, 5.526e-6
-0.003, 5.506e-6
-0.005, 5.487e-6
-0.007, 5.468e-6
-0.009, 5.449e-6
-0.011, 5.431e-6
-0.013, 5.413e-6
-0.015, 5.396e-6
-0.017, 5.380e-6
-0.019, 5.363e-6
-0.021, 5.347e-6
-0.023, 5.331e-6
-0.025, 5.316e-6
-0.027, 5.299e-6
-0.029, 5.284e-6
-0.031, 5.269e-6
-0.033, 5.254e-6
-0.035, 5.239e-6
-0.037, 5.225e-6
-0.039, 5.211e-6
-0.041, 5.198e-6
-0.043, 5.184e-6
-0.045, 5.171e-6
-0.047, 5.157e-6
-0.049, 5.144e-6
-0.051, 5.131e-6
-0.053, 5.119e-6
-0.055, 5.108e-6
-0.057, 5.096e-6
-0.059, 5.084e-6
-0.061, 5.073e-6
-0.063, 5.062e-6
-0.065, 5.051e-6
-0.067, 5.040e-6
-0.069, 5.030e-6
-0.071, 5.019e-6
-0.073, 5.009e-6
-0.075, 4.999e-6
-0.077, 4.989e-6
-0.079, 4.979e-6
-0.081, 4.970e-6
-0.083, 4.961e-6
-0.085, 4.953e-6
-0.087, 4.944e-6
-0.089, 4.936e-6
-0.091, 4.927e-6
-0.093, 4.920e-6
-0.095, 4.912e-6
-0.097, 4.904e-6
-0.099, 4.897e-6
-0.101, 4.890e-6
-0.103, 4.883e-6
-0.105, 4.877e-6
-0.107, 4.871e-6
-0.109, 4.865e-6
-0.111, 4.858e-6
-0.113, 4.852e-6
-0.115, 4.846e-6
-0.117, 4.840e-6
-0.119, 4.834e-6
-0.121, 4.829e-6
-0.123, 4.824e-6
-0.125, 4.820e-6
-0.127, 4.817e-6
-0.129, 4.813e-6
-0.131, 4.809e-6
-0.133, 4.807e-6
-0.135, 4.807e-6
-0.137, 4.808e-6
-0.139, 4.807e-6
-0.141, 4.806e-6
-0.143, 4.804e-6
-0.145, 4.802e-6
-0.147, 4.802e-6
-0.149, 4.801e-6
-0.151, 4.802e-6
-0.153, 4.804e-6
-0.155, 4.805e-6
-0.157, 4.807e-6
-0.159, 4.809e-6
-0.161, 4.811e-6
-0.163, 4.813e-6
-0.165, 4.816e-6
-0.167, 4.819e-6
-0.169, 4.824e-6
-0.171, 4.828e-6
-0.173, 4.833e-6
-0.175, 4.840e-6
-0.177, 4.847e-6
-0.179, 4.854e-6
-0.181, 4.863e-6
-0.183, 4.871e-6
-0.185, 4.882e-6
-0.187, 4.893e-6
-0.189, 4.905e-6
-0.191, 4.918e-6
-0.193, 4.932e-6
-0.195, 4.946e-6
-0.197, 4.963e-6
-0.199, 4.981e-6
-0.199, 4.911e-6
-0.197, 4.794e-6
-0.195, 4.728e-6
-0.193, 4.675e-6
-0.191, 4.628e-6
-0.189, 4.585e-6
-0.187, 4.546e-6
-0.185, 4.509e-6
-0.183, 4.474e-6
-0.181, 4.442e-6
-0.179, 4.411e-6
-0.177, 4.381e-6
-0.175, 4.354e-6
-0.173, 4.328e-6
-0.171, 4.302e-6
-0.169, 4.277e-6
-0.167, 4.253e-6
-0.165, 4.231e-6
-0.163, 4.208e-6
-0.161, 4.187e-6
-0.159, 4.167e-6
-0.157, 4.148e-6
-0.155, 4.129e-6
-0.153, 4.111e-6
-0.151, 4.093e-6
-0.149, 4.077e-6
-0.147, 4.060e-6
-0.145, 4.044e-6
-0.143, 4.028e-6
-0.141, 4.013e-6
-0.139, 3.998e-6
