Sept. 5, 2019   14:45:56
Cyclic Voltammetry
File: c:\users\1\desktop\2019Data Source:  Experiment
Instrument Model:  CHI630E
Header: 
Note: 

Init E (V) = 0.6
High E (V) = 0.6
Low E (V) = -0.2
Init P/N = N
Scan Rate (V/s) = 0.06
Segment = 2
Sample Interval (V) = 0.002
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:
Ep = 0.201V
ip = 2.622e-5A
Ah = 2.914e-5C

Segment 2:
Ep = 0.275V
ip = -2.651e-5A
Ah = -3.010e-5C

Potential/V, Current/A

0.599, -1.106e-6
0.597, -9.778e-7
0.595, -9.165e-7
0.593, -8.665e-7
0.591, -8.255e-7
0.589, -7.872e-7
0.587, -7.508e-7
0.585, -7.189e-7
0.583, -6.871e-7
0.581, -6.587e-7
0.579, -6.319e-7
0.577, -6.048e-7
0.575, -5.817e-7
0.573, -5.585e-7
0.571, -5.351e-7
0.569, -5.128e-7
0.567, -4.920e-7
0.565, -4.721e-7
0.563, -4.526e-7
0.561, -4.336e-7
0.559, -4.153e-7
0.557, -3.977e-7
0.555, -3.811e-7
0.553, -3.660e-7
0.551, -3.493e-7
0.549, -3.349e-7
0.547, -3.190e-7
0.545, -3.029e-7
0.543, -2.900e-7
0.541, -2.756e-7
0.539, -2.605e-7
0.537, -2.486e-7
0.535, -2.358e-7
0.533, -2.228e-7
0.531, -2.097e-7
0.529, -1.969e-7
0.527, -1.855e-7
0.525, -1.754e-7
0.523, -1.633e-7
0.521, -1.522e-7
0.519, -1.408e-7
0.517, -1.310e-7
0.515, -1.194e-7
0.513, -1.092e-7
0.511, -9.992e-8
0.509, -8.961e-8
0.507, -7.958e-8
0.505, -6.984e-8
0.503, -6.045e-8
0.501, -5.140e-8
0.499, -4.298e-8
0.497, -3.272e-8
0.495, -2.515e-8
0.493, -1.603e-8
0.491, -6.664e-9
0.489, 1.623e-9
0.487, 9.769e-9
0.485, 1.661e-8
0.483, 2.672e-8
0.481, 3.500e-8
0.479, 4.275e-8
0.477, 5.042e-8
0.475, 5.888e-8
0.473, 6.591e-8
0.471, 7.344e-8
0.469, 8.165e-8
0.467, 8.945e-8
0.465, 9.744e-8
0.463, 1.042e-7
0.461, 1.111e-7
0.459, 1.182e-7
0.457, 1.263e-7
0.455, 1.341e-7
0.453, 1.408e-7
0.451, 1.488e-7
0.449, 1.569e-7
0.447, 1.615e-7
0.445, 1.703e-7
0.443, 1.787e-7
0.441, 1.860e-7
0.439, 1.935e-7
0.437, 2.016e-7
0.435, 2.080e-7
0.433, 2.167e-7
0.431, 2.243e-7
0.429, 2.320e-7
0.427, 2.407e-7
0.425, 2.498e-7
0.423, 2.579e-7
0.421, 2.658e-7
0.419, 2.755e-7
0.417, 2.856e-7
0.415, 2.954e-7
0.413, 3.051e-7
0.411, 3.156e-7
0.409, 3.262e-7
0.407, 3.372e-7
0.405, 3.490e-7
0.403, 3.606e-7
0.401, 3.747e-7
0.399, 3.868e-7
0.397, 3.996e-7
0.395, 4.152e-7
0.393, 4.304e-7
0.391, 4.471e-7
0.389, 4.641e-7
0.387, 4.817e-7
0.385, 5.018e-7
0.383, 5.196e-7
0.381, 5.406e-7
0.379, 5.649e-7
0.377, 5.886e-7
0.375, 6.138e-7
0.373, 6.405e-7
0.371, 6.690e-7
0.369, 6.995e-7
0.367, 7.329e-7
0.365, 7.686e-7
0.363, 8.055e-7
0.361, 8.468e-7
0.359, 8.895e-7
0.357, 9.330e-7
0.355, 9.833e-7
0.353, 1.036e-6
0.351, 1.091e-6
0.349, 1.150e-6
0.347, 1.213e-6
0.345, 1.279e-6
0.343, 1.354e-6
0.341, 1.432e-6
0.339, 1.516e-6
0.337, 1.607e-6
0.335, 1.703e-6
0.333, 1.804e-6
0.331, 1.914e-6
0.329, 2.031e-6
0.327, 2.158e-6
0.325, 2.291e-6
0.323, 2.435e-6
0.321, 2.591e-6
0.319, 2.748e-6
0.317, 2.923e-6
0.315, 3.109e-6
0.313, 3.309e-6
0.311, 3.521e-6
0.309, 3.743e-6
0.307, 3.980e-6
0.305, 4.235e-6
0.303, 4.499e-6
0.301, 4.785e-6
0.299, 5.084e-6
0.297, 5.399e-6
0.295, 5.737e-6
0.293, 6.078e-6
0.291, 6.453e-6
0.289, 6.851e-6
0.287, 7.255e-6
0.285, 7.685e-6
0.283, 8.138e-6
0.281, 8.592e-6
0.279, 9.082e-6
0.277, 9.590e-6
0.275, 1.011e-5
0.273, 1.066e-5
0.271, 1.122e-5
0.269, 1.180e-5
0.267, 1.238e-5
0.265, 1.299e-5
0.263, 1.362e-5
0.261, 1.424e-5
0.259, 1.489e-5
0.257, 1.554e-5
0.255, 1.617e-5
0.253, 1.683e-5
0.251, 1.749e-5
0.249, 1.815e-5
0.247, 1.879e-5
0.245, 1.944e-5
0.243, 2.006e-5
0.241, 2.068e-5
0.239, 2.129e-5
0.237, 2.187e-5
0.235, 2.244e-5
0.233, 2.298e-5
0.231, 2.350e-5
0.229, 2.398e-5
0.227, 2.443e-5
0.225, 2.486e-5
0.223, 2.526e-5
0.221, 2.561e-5
0.219, 2.594e-5
0.217, 2.623e-5
0.215, 2.648e-5
0.213, 2.669e-5
0.211, 2.688e-5
0.209, 2.703e-5
0.207, 2.715e-5
0.205, 2.723e-5
0.203, 2.727e-5
0.201, 2.730e-5
0.199, 2.730e-5
0.197, 2.726e-5
0.195, 2.719e-5
0.193, 2.711e-5
0.191, 2.699e-5
0.189, 2.687e-5
0.187, 2.673e-5
0.185, 2.656e-5
0.183, 2.639e-5
0.181, 2.620e-5
0.179, 2.599e-5
0.177, 2.578e-5
0.175, 2.556e-5
0.173, 2.533e-5
0.171, 2.509e-5
0.169, 2.486e-5
0.167, 2.462e-5
0.165, 2.437e-5
0.163, 2.412e-5
0.161, 2.388e-5
0.159, 2.363e-5
0.157, 2.338e-5
0.155, 2.314e-5
0.153, 2.289e-5
0.151, 2.265e-5
0.149, 2.241e-5
0.147, 2.218e-5
0.145, 2.194e-5
0.143, 2.171e-5
0.141, 2.149e-5
0.139, 2.127e-5
0.137, 2.105e-5
0.135, 2.084e-5
0.133, 2.063e-5
0.131, 2.042e-5
0.129, 2.022e-5
0.127, 2.002e-5
0.125, 1.983e-5
0.123, 1.964e-5
0.121, 1.946e-5
0.119, 1.928e-5
0.117, 1.911e-5
0.115, 1.893e-5
0.113, 1.877e-5
0.111, 1.860e-5
0.109, 1.845e-5
0.107, 1.829e-5
0.105, 1.814e-5
0.103, 1.799e-5
0.101, 1.785e-5
0.099, 1.770e-5
0.097, 1.757e-5
0.095, 1.743e-5
0.093, 1.730e-5
0.091, 1.717e-5
0.089, 1.705e-5
0.087, 1.692e-5
0.085, 1.681e-5
0.083, 1.669e-5
0.081, 1.657e-5
0.079, 1.646e-5
0.077, 1.635e-5
0.075, 1.625e-5
0.073, 1.614e-5
0.071, 1.604e-5
0.069, 1.594e-5
0.067, 1.584e-5
0.065, 1.575e-5
0.063, 1.565e-5
0.061, 1.556e-5
0.059, 1.547e-5
0.057, 1.539e-5
0.055, 1.530e-5
0.053, 1.522e-5
0.051, 1.513e-5
0.049, 1.505e-5
0.047, 1.497e-5
0.045, 1.490e-5
0.043, 1.482e-5
0.041, 1.475e-5
0.039, 1.467e-5
0.037, 1.460e-5
0.035, 1.453e-5
0.033, 1.446e-5
0.031, 1.439e-5
0.029, 1.433e-5
0.027, 1.426e-5
0.025, 1.420e-5
0.023, 1.413e-5
0.021, 1.407e-5
0.019, 1.401e-5
0.017, 1.395e-5
0.015, 1.389e-5
0.013, 1.383e-5
0.011, 1.378e-5
0.009, 1.372e-5
0.007, 1.367e-5
0.005, 1.361e-5
0.003, 1.356e-5
0.001, 1.351e-5
-0.001, 1.346e-5
-0.003, 1.341e-5
-0.005, 1.336e-5
-0.007, 1.331e-5
-0.009, 1.326e-5
-0.011, 1.321e-5
-0.013, 1.316e-5
-0.015, 1.312e-5
-0.017, 1.307e-5
-0.019, 1.303e-5
-0.021, 1.298e-5
-0.023, 1.294e-5
-0.025, 1.290e-5
-0.027, 1.285e-5
-0.029, 1.281e-5
-0.031, 1.277e-5
-0.033, 1.273e-5
-0.035, 1.269e-5
-0.037, 1.265e-5
-0.039, 1.261e-5
-0.041, 1.258e-5
-0.043, 1.254e-5
-0.045, 1.250e-5
-0.047, 1.247e-5
-0.049, 1.243e-5
-0.051, 1.239e-5
-0.053, 1.236e-5
-0.055, 1.233e-5
-0.057, 1.229e-5
-0.059, 1.226e-5
-0.061, 1.223e-5
-0.063, 1.219e-5
-0.065, 1.216e-5
-0.067, 1.213e-5
-0.069, 1.210e-5
-0.071, 1.207e-5
-0.073, 1.204e-5
-0.075, 1.201e-5
-0.077, 1.198e-5
-0.079, 1.195e-5
-0.081, 1.192e-5
-0.083, 1.189e-5
-0.085, 1.186e-5
-0.087, 1.184e-5
-0.089, 1.181e-5
-0.091, 1.178e-5
-0.093, 1.176e-5
-0.095, 1.173e-5
-0.097, 1.170e-5
-0.099, 1.168e-5
-0.101, 1.165e-5
-0.103, 1.163e-5
-0.105, 1.161e-5
-0.107, 1.158e-5
-0.109, 1.156e-5
-0.111, 1.154e-5
-0.113, 1.152e-5
-0.115, 1.149e-5
-0.117, 1.147e-5
-0.119, 1.145e-5
-0.121, 1.143e-5
-0.123, 1.141e-5
-0.125, 1.139e-5
-0.127, 1.137e-5
-0.129, 1.135e-5
-0.131, 1.133e-5
-0.133, 1.131e-5
-0.135, 1.129e-5
-0.137, 1.128e-5
-0.139, 1.126e-5
-0.141, 1.124e-5
-0.143, 1.123e-5
-0.145, 1.121e-5
-0.147, 1.120e-5
-0.149, 1.118e-5
-0.151, 1.117e-5
-0.153, 1.116e-5
-0.155, 1.114e-5
-0.157, 1.113e-5
-0.159, 1.112e-5
-0.161, 1.111e-5
-0.163, 1.110e-5
-0.165, 1.109e-5
-0.167, 1.108e-5
-0.169, 1.108e-5
-0.171, 1.107e-5
-0.173, 1.106e-5
-0.175, 1.106e-5
-0.177, 1.105e-5
-0.179, 1.105e-5
-0.181, 1.104e-5
-0.183, 1.104e-5
-0.185, 1.103e-5
-0.187, 1.103e-5
-0.189, 1.103e-5
-0.191, 1.104e-5
-0.193, 1.104e-5
-0.195, 1.105e-5
-0.197, 1.106e-5
-0.199, 1.107e-5
-0.199, 1.069e-5
-0.197, 1.035e-5
-0.195, 1.019e-5
-0.193, 1.007e-5
-0.191, 9.963e-6
-0.189, 9.866e-6
-0.187, 9.779e-6
-0.185, 9.701e-6
-0.183, 9.628e-6
-0.181, 9.559e-6
-0.179, 9.494e-6
-0.177, 9.430e-6
-0.175, 9.372e-6
-0.173, 9.316e-6
-0.171, 9.263e-6
-0.169, 9.211e-6
-0.167, 9.163e-6
-0.165, 9.116e-6
-0.163, 9.070e-6
-0.161, 9.027e-6
-0.159, 8.984e-6
-0.157, 8.943e-6
-0.155, 8.903e-6
-0.153, 8.865e-6
-0.151, 8.827e-6
-0.149, 8.790e-6
-0.147, 8.755e-6
-0.145, 8.719e-6
-0.143, 8.686e-6
-0.141, 8.653e-6
-0.139, 8.620e-6
