Sept. 5, 2019   15:03:32
Cyclic Voltammetry
File: c:\users\1\desktop\2019Data Source:  Experiment
Instrument Model:  CHI630E
Header: 
Note: 

Init E (V) = 0.6
High E (V) = 0.6
Low E (V) = -0.2
Init P/N = N
Scan Rate (V/s) = 0.02
Segment = 2
Sample Interval (V) = 0.002
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:
Ep = 0.201V
ip = 1.545e-5A
Ah = 5.161e-5C

Segment 2:
Ep = 0.273V
ip = -1.590e-5A
Ah = -5.319e-5C

Potential/V, Current/A

0.599, -2.469e-6
0.597, -2.375e-6
0.595, -2.305e-6
0.593, -2.244e-6
0.591, -2.187e-6
0.589, -2.136e-6
0.587, -2.086e-6
0.585, -2.039e-6
0.583, -1.994e-6
0.581, -1.953e-6
0.579, -1.913e-6
0.577, -1.875e-6
0.575, -1.839e-6
0.573, -1.803e-6
0.571, -1.769e-6
0.569, -1.737e-6
0.567, -1.705e-6
0.565, -1.675e-6
0.563, -1.646e-6
0.561, -1.618e-6
0.559, -1.591e-6
0.557, -1.564e-6
0.555, -1.538e-6
0.553, -1.513e-6
0.551, -1.489e-6
0.549, -1.466e-6
0.547, -1.443e-6
0.545, -1.421e-6
0.543, -1.399e-6
0.541, -1.379e-6
0.539, -1.358e-6
0.537, -1.339e-6
0.535, -1.320e-6
0.533, -1.301e-6
0.531, -1.282e-6
0.529, -1.265e-6
0.527, -1.247e-6
0.525, -1.230e-6
0.523, -1.213e-6
0.521, -1.197e-6
0.519, -1.181e-6
0.517, -1.165e-6
0.515, -1.150e-6
0.513, -1.135e-6
0.511, -1.120e-6
0.509, -1.106e-6
0.507, -1.091e-6
0.505, -1.077e-6
0.503, -1.064e-6
0.501, -1.050e-6
0.499, -1.038e-6
0.497, -1.025e-6
0.495, -1.012e-6
0.493, -9.996e-7
0.491, -9.872e-7
0.489, -9.752e-7
0.487, -9.637e-7
0.485, -9.526e-7
0.483, -9.408e-7
0.481, -9.294e-7
0.479, -9.183e-7
0.477, -9.076e-7
0.475, -8.966e-7
0.473, -8.865e-7
0.471, -8.759e-7
0.469, -8.653e-7
0.467, -8.550e-7
0.465, -8.445e-7
0.463, -8.349e-7
0.461, -8.253e-7
0.459, -8.150e-7
0.457, -8.053e-7
0.455, -7.957e-7
0.453, -7.863e-7
0.451, -7.770e-7
0.449, -7.672e-7
0.447, -7.583e-7
0.445, -7.486e-7
0.443, -7.389e-7
0.441, -7.298e-7
0.439, -7.206e-7
0.437, -7.114e-7
0.435, -7.026e-7
0.433, -6.932e-7
0.431, -6.842e-7
0.429, -6.752e-7
0.427, -6.657e-7
0.425, -6.563e-7
0.423, -6.470e-7
0.421, -6.383e-7
0.419, -6.288e-7
0.417, -6.188e-7
0.415, -6.094e-7
0.413, -5.995e-7
0.411, -5.889e-7
0.409, -5.790e-7
0.407, -5.691e-7
0.405, -5.591e-7
0.403, -5.478e-7
0.401, -5.365e-7
0.399, -5.252e-7
0.397, -5.138e-7
0.395, -5.012e-7
0.393, -4.890e-7
0.391, -4.757e-7
0.389, -4.623e-7
0.387, -4.479e-7
0.385, -4.332e-7
0.383, -4.186e-7
0.381, -4.022e-7
0.379, -3.856e-7
0.377, -3.701e-7
0.375, -3.513e-7
0.373, -3.322e-7
0.371, -3.121e-7
0.369, -2.904e-7
0.367, -2.679e-7
0.365, -2.438e-7
0.363, -2.180e-7
0.361, -1.916e-7
0.359, -1.633e-7
0.357, -1.342e-7
0.355, -1.014e-7
0.353, -6.721e-8
0.351, -3.125e-8
0.349, 7.185e-9
0.347, 4.962e-8
0.345, 9.238e-8
0.343, 1.391e-7
0.341, 1.885e-7
0.339, 2.414e-7
0.337, 2.984e-7
0.335, 3.582e-7
0.333, 4.215e-7
0.331, 4.900e-7
0.329, 5.636e-7
0.327, 6.414e-7
0.325, 7.235e-7
0.323, 8.136e-7
0.321, 9.088e-7
0.319, 1.006e-6
0.317, 1.114e-6
0.315, 1.228e-6
0.313, 1.350e-6
0.311, 1.479e-6
0.309, 1.617e-6
0.307, 1.763e-6
0.305, 1.918e-6
0.303, 2.081e-6
0.301, 2.255e-6
0.299, 2.440e-6
0.297, 2.634e-6
0.295, 2.839e-6
0.293, 3.049e-6
0.291, 3.280e-6
0.289, 3.521e-6
0.287, 3.771e-6
0.285, 4.035e-6
0.283, 4.311e-6
0.281, 4.593e-6
0.279, 4.893e-6
0.277, 5.203e-6
0.275, 5.528e-6
0.273, 5.863e-6
0.271, 6.207e-6
0.269, 6.560e-6
0.267, 6.921e-6
0.265, 7.297e-6
0.263, 7.678e-6
0.261, 8.065e-6
0.259, 8.459e-6
0.257, 8.863e-6
0.255, 9.253e-6
0.253, 9.655e-6
0.251, 1.006e-5
0.249, 1.046e-5
0.247, 1.086e-5
0.245, 1.124e-5
0.243, 1.162e-5
0.241, 1.200e-5
0.239, 1.236e-5
0.237, 1.272e-5
0.235, 1.306e-5
0.233, 1.338e-5
0.231, 1.369e-5
0.229, 1.396e-5
0.227, 1.424e-5
0.225, 1.449e-5
0.223, 1.472e-5
0.221, 1.493e-5
0.219, 1.512e-5
0.217, 1.527e-5
0.215, 1.542e-5
0.213, 1.553e-5
0.211, 1.564e-5
0.209, 1.572e-5
0.207, 1.578e-5
0.205, 1.581e-5
0.203, 1.583e-5
0.201, 1.583e-5
0.199, 1.582e-5
0.197, 1.578e-5
0.195, 1.574e-5
0.193, 1.568e-5
0.191, 1.560e-5
0.189, 1.551e-5
0.187, 1.542e-5
0.185, 1.532e-5
0.183, 1.521e-5
0.181, 1.509e-5
0.179, 1.496e-5
0.177, 1.483e-5
0.175, 1.470e-5
0.173, 1.456e-5
0.171, 1.442e-5
0.169, 1.428e-5
0.167, 1.413e-5
0.165, 1.398e-5
0.163, 1.384e-5
0.161, 1.369e-5
0.159, 1.355e-5
0.157, 1.340e-5
0.155, 1.326e-5
0.153, 1.311e-5
0.151, 1.297e-5
0.149, 1.283e-5
0.147, 1.269e-5
0.145, 1.256e-5
0.143, 1.242e-5
0.141, 1.229e-5
0.139, 1.216e-5
0.137, 1.204e-5
0.135, 1.191e-5
0.133, 1.179e-5
0.131, 1.167e-5
0.129, 1.156e-5
0.127, 1.144e-5
0.125, 1.133e-5
0.123, 1.123e-5
0.121, 1.112e-5
0.119, 1.102e-5
0.117, 1.092e-5
0.115, 1.082e-5
0.113, 1.072e-5
0.111, 1.063e-5
0.109, 1.054e-5
0.107, 1.045e-5
0.105, 1.036e-5
0.103, 1.028e-5
0.101, 1.020e-5
0.099, 1.012e-5
0.097, 1.004e-5
0.095, 9.961e-6
0.093, 9.885e-6
0.091, 9.812e-6
0.089, 9.740e-6
0.087, 9.671e-6
0.085, 9.603e-6
0.083, 9.536e-6
0.081, 9.471e-6
0.079, 9.407e-6
0.077, 9.344e-6
0.075, 9.284e-6
0.073, 9.225e-6
0.071, 9.167e-6
0.069, 9.111e-6
0.067, 9.057e-6
0.065, 9.002e-6
0.063, 8.949e-6
0.061, 8.897e-6
0.059, 8.847e-6
0.057, 8.797e-6
0.055, 8.749e-6
0.053, 8.701e-6
0.051, 8.653e-6
0.049, 8.608e-6
0.047, 8.563e-6
0.045, 8.519e-6
0.043, 8.476e-6
0.041, 8.434e-6
0.039, 8.393e-6
0.037, 8.352e-6
0.035, 8.312e-6
0.033, 8.273e-6
0.031, 8.235e-6
0.029, 8.197e-6
0.027, 8.161e-6
0.025, 8.124e-6
0.023, 8.089e-6
0.021, 8.054e-6
0.019, 8.020e-6
0.017, 7.987e-6
0.015, 7.954e-6
0.013, 7.920e-6
0.011, 7.888e-6
0.009, 7.857e-6
0.007, 7.826e-6
0.005, 7.796e-6
0.003, 7.766e-6
0.001, 7.737e-6
-0.001, 7.709e-6
-0.003, 7.681e-6
-0.005, 7.653e-6
-0.007, 7.626e-6
-0.009, 7.599e-6
-0.011, 7.572e-6
-0.013, 7.546e-6
-0.015, 7.521e-6
-0.017, 7.497e-6
-0.019, 7.473e-6
-0.021, 7.449e-6
-0.023, 7.425e-6
-0.025, 7.401e-6
-0.027, 7.377e-6
-0.029, 7.355e-6
-0.031, 7.333e-6
-0.033, 7.311e-6
-0.035, 7.289e-6
-0.037, 7.268e-6
-0.039, 7.246e-6
-0.041, 7.226e-6
-0.043, 7.205e-6
-0.045, 7.185e-6
-0.047, 7.166e-6
-0.049, 7.146e-6
-0.051, 7.126e-6
-0.053, 7.107e-6
-0.055, 7.088e-6
-0.057, 7.070e-6
-0.059, 7.052e-6
-0.061, 7.034e-6
-0.063, 7.017e-6
-0.065, 6.998e-6
-0.067, 6.981e-6
-0.069, 6.965e-6
-0.071, 6.948e-6
-0.073, 6.932e-6
-0.075, 6.916e-6
-0.077, 6.900e-6
-0.079, 6.885e-6
-0.081, 6.870e-6
-0.083, 6.855e-6
-0.085, 6.841e-6
-0.087, 6.827e-6
-0.089, 6.814e-6
-0.091, 6.799e-6
-0.093, 6.786e-6
-0.095, 6.774e-6
-0.097, 6.761e-6
-0.099, 6.748e-6
-0.101, 6.736e-6
-0.103, 6.724e-6
-0.105, 6.712e-6
-0.107, 6.700e-6
-0.109, 6.689e-6
-0.111, 6.679e-6
-0.113, 6.668e-6
-0.115, 6.657e-6
-0.117, 6.648e-6
-0.119, 6.639e-6
-0.121, 6.631e-6
-0.123, 6.623e-6
-0.125, 6.615e-6
-0.127, 6.608e-6
-0.129, 6.599e-6
-0.131, 6.592e-6
-0.133, 6.585e-6
-0.135, 6.579e-6
-0.137, 6.573e-6
-0.139, 6.566e-6
-0.141, 6.561e-6
-0.143, 6.554e-6
-0.145, 6.549e-6
-0.147, 6.545e-6
-0.149, 6.541e-6
-0.151, 6.537e-6
-0.153, 6.534e-6
-0.155, 6.531e-6
-0.157, 6.529e-6
-0.159, 6.528e-6
-0.161, 6.526e-6
-0.163, 6.525e-6
-0.165, 6.526e-6
-0.167, 6.525e-6
-0.169, 6.526e-6
-0.171, 6.528e-6
-0.173, 6.531e-6
-0.175, 6.533e-6
-0.177, 6.537e-6
-0.179, 6.541e-6
-0.181, 6.547e-6
-0.183, 6.553e-6
-0.185, 6.560e-6
-0.187, 6.568e-6
-0.189, 6.578e-6
-0.191, 6.588e-6
-0.193, 6.599e-6
-0.195, 6.611e-6
-0.197, 6.626e-6
-0.199, 6.641e-6
-0.199, 6.465e-6
-0.197, 6.304e-6
-0.195, 6.218e-6
-0.193, 6.147e-6
-0.191, 6.087e-6
-0.189, 6.030e-6
-0.187, 5.978e-6
-0.185, 5.930e-6
-0.183, 5.886e-6
-0.181, 5.843e-6
-0.179, 5.804e-6
-0.177, 5.765e-6
-0.175, 5.729e-6
-0.173, 5.694e-6
-0.171, 5.660e-6
-0.169, 5.628e-6
-0.167, 5.598e-6
-0.165, 5.568e-6
-0.163, 5.538e-6
-0.161, 5.509e-6
-0.159, 5.483e-6
-0.157, 5.457e-6
-0.155, 5.431e-6
-0.153, 5.407e-6
-0.151, 5.383e-6
-0.149, 5.360e-6
-0.147, 5.337e-6
-0.145, 5.315e-6
-0.143, 5.294e-6
-0.141, 5.273e-6
-0.139, 5.252e-6
