0,0.206
30,0.204
60,0.2008
90,0.1962
120,0.1922
150,0.189
180,0.1847
210,0.178
240,0.1743
270,0.1714
300,0.1646
330,0.1619
360,0.1575
390,0.1507
420,0.1466
