t (s),αt,ln(αt-αinf)
145,10.1,2.610069793
194,8.85,2.513656063
233,8.45,2.480731278
308,7.45,2.393339456
360,7.2,2.370243741
445,6.7,2.32238772
481,6.55,2.307572635
580,5.5,2.197224577
669,4.1,2.028148247
766,3.4,1.931521412
850,3,1.871802177
999,2.9,1.85629799
1134,1.7,1.648658626
1253,1.1,1.526056303
1353,0.7,1.435084525
1493,0.25,1.32175584
1574,-0.45,1.115141591
1675,-0.75,1.011600912
