Sept. 5, 2019   16:23:18
Cyclic Voltammetry
File: c:\users\1\desktop\2019Data Source:  Experiment
Instrument Model:  CHI630E
Header: 
Note: 

Init E (V) = -0.2
High E (V) = 1
Low E (V) = -0.2
Init P/N = P
Scan Rate (V/s) = 0.08
Segment = 2
Sample Interval (V) = 0.002
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Segment 1:
Ep = 0.367V
ip = -4.661e-5A
Ah = -6.504e-5C

Segment 2:

Potential/V, Current/A

-0.199, 8.940e-7
-0.197, 7.190e-7
-0.195, 6.428e-7
-0.193, 5.850e-7
-0.191, 5.384e-7
-0.189, 4.910e-7
-0.187, 4.494e-7
-0.185, 4.133e-7
-0.183, 3.756e-7
-0.181, 3.432e-7
-0.179, 3.115e-7
-0.177, 2.793e-7
-0.175, 2.504e-7
-0.173, 2.230e-7
-0.171, 1.914e-7
-0.169, 1.661e-7
-0.167, 1.417e-7
-0.165, 1.183e-7
-0.163, 9.438e-8
-0.161, 7.382e-8
-0.159, 5.121e-8
-0.157, 2.962e-8
-0.155, 9.611e-9
-0.153, -7.799e-9
-0.151, -2.915e-8
-0.149, -4.648e-8
-0.147, -6.531e-8
-0.145, -8.375e-8
-0.143, -9.997e-8
-0.141, -1.158e-7
-0.139, -1.342e-7
-0.137, -1.495e-7
-0.135, -1.645e-7
-0.133, -1.803e-7
-0.131, -1.961e-7
-0.129, -2.113e-7
-0.127, -2.248e-7
-0.125, -2.417e-7
-0.123, -2.537e-7
-0.121, -2.675e-7
-0.119, -2.811e-7
-0.117, -2.942e-7
-0.115, -3.056e-7
-0.113, -3.195e-7
-0.111, -3.296e-7
-0.109, -3.410e-7
-0.107, -3.549e-7
-0.105, -3.658e-7
-0.103, -3.754e-7
-0.101, -3.873e-7
-0.099, -3.999e-7
-0.097, -4.092e-7
-0.095, -4.206e-7
-0.093, -4.311e-7
-0.091, -4.413e-7
-0.089, -4.497e-7
-0.087, -4.610e-7
-0.085, -4.692e-7
-0.083, -4.813e-7
-0.081, -4.906e-7
-0.079, -5.000e-7
-0.077, -5.089e-7
-0.075, -5.187e-7
-0.073, -5.267e-7
-0.071, -5.373e-7
-0.069, -5.464e-7
-0.067, -5.548e-7
-0.065, -5.646e-7
-0.063, -5.707e-7
-0.061, -5.791e-7
-0.059, -5.896e-7
-0.057, -5.962e-7
-0.055, -6.049e-7
-0.053, -6.125e-7
-0.051, -6.197e-7
-0.049, -6.277e-7
-0.047, -6.344e-7
-0.045, -6.425e-7
-0.043, -6.503e-7
-0.041, -6.580e-7
-0.039, -6.640e-7
-0.037, -6.698e-7
-0.035, -6.793e-7
-0.033, -6.860e-7
-0.031, -6.935e-7
-0.029, -7.021e-7
-0.027, -7.088e-7
-0.025, -7.121e-7
-0.023, -7.231e-7
-0.021, -7.302e-7
-0.019, -7.372e-7
-0.017, -7.446e-7
-0.015, -7.497e-7
-0.013, -7.549e-7
-0.011, -7.632e-7
-0.009, -7.697e-7
-0.007, -7.774e-7
-0.005, -7.840e-7
-0.003, -7.902e-7
-0.001, -7.946e-7
0.001, -8.037e-7
0.003, -8.105e-7
0.005, -8.174e-7
0.007, -8.239e-7
0.009, -8.297e-7
0.011, -8.349e-7
0.013, -8.420e-7
0.015, -8.488e-7
0.017, -8.553e-7
0.019, -8.620e-7
0.021, -8.695e-7
0.023, -8.727e-7
0.025, -8.784e-7
0.027, -8.863e-7
0.029, -8.928e-7
0.031, -8.994e-7
0.033, -9.054e-7
0.035, -9.106e-7
0.037, -9.166e-7
0.039, -9.218e-7
0.041, -9.288e-7
0.043, -9.345e-7
0.045, -9.421e-7
0.047, -9.482e-7
0.049, -9.525e-7
0.051, -9.569e-7
0.053, -9.656e-7
0.055, -9.717e-7
0.057, -9.786e-7
0.059, -9.847e-7
0.061, -9.911e-7
0.063, -9.985e-7
0.065, -1.002e-6
0.067, -1.011e-6
0.069, -1.020e-6
0.071, -1.026e-6
0.073, -1.033e-6
0.075, -1.041e-6
0.077, -1.045e-6
0.079, -1.056e-6
0.081, -1.064e-6
0.083, -1.071e-6
0.085, -1.082e-6
0.087, -1.090e-6
0.089, -1.099e-6
0.091, -1.107e-6
0.093, -1.121e-6
0.095, -1.132e-6
0.097, -1.144e-6
0.099, -1.157e-6
0.101, -1.172e-6
0.103, -1.188e-6
0.105, -1.204e-6
0.107, -1.222e-6
0.109, -1.240e-6
0.111, -1.263e-6
0.113, -1.284e-6
0.115, -1.307e-6
0.117, -1.335e-6
0.119, -1.363e-6
0.121, -1.396e-6
0.123, -1.431e-6
0.125, -1.470e-6
0.127, -1.513e-6
0.129, -1.554e-6
0.131, -1.603e-6
0.133, -1.661e-6
0.135, -1.718e-6
0.137, -1.779e-6
0.139, -1.848e-6
0.141, -1.924e-6
0.143, -2.008e-6
0.145, -2.099e-6
0.147, -2.197e-6
0.149, -2.304e-6
0.151, -2.417e-6
0.153, -2.540e-6
0.155, -2.672e-6
0.157, -2.817e-6
0.159, -2.969e-6
0.161, -3.131e-6
0.163, -3.307e-6
0.165, -3.495e-6
0.167, -3.689e-6
0.169, -3.888e-6
0.171, -4.109e-6
0.173, -4.348e-6
0.175, -4.600e-6
0.177, -4.865e-6
0.179, -5.143e-6
0.181, -5.437e-6
0.183, -5.744e-6
0.185, -6.065e-6
0.187, -6.402e-6
0.189, -6.759e-6
0.191, -7.129e-6
0.193, -7.512e-6
0.195, -7.919e-6
0.197, -8.333e-6
0.199, -8.767e-6
0.201, -9.208e-6
0.203, -9.665e-6
0.205, -1.014e-5
0.207, -1.062e-5
0.209, -1.113e-5
0.211, -1.165e-5
0.213, -1.218e-5
0.215, -1.272e-5
0.217, -1.328e-5
0.219, -1.383e-5
0.221, -1.441e-5
0.223, -1.501e-5
0.225, -1.561e-5
0.227, -1.623e-5
0.229, -1.685e-5
0.231, -1.748e-5
0.233, -1.812e-5
0.235, -1.876e-5
0.237, -1.942e-5
0.239, -2.007e-5
0.241, -2.075e-5
0.243, -2.142e-5
0.245, -2.210e-5
0.247, -2.279e-5
0.249, -2.349e-5
0.251, -2.420e-5
0.253, -2.490e-5
0.255, -2.560e-5
0.257, -2.631e-5
0.259, -2.702e-5
0.261, -2.773e-5
0.263, -2.846e-5
0.265, -2.917e-5
0.267, -2.988e-5
0.269, -3.059e-5
0.271, -3.131e-5
0.273, -3.202e-5
0.275, -3.273e-5
0.277, -3.343e-5
0.279, -3.413e-5
0.281, -3.483e-5
0.283, -3.550e-5
0.285, -3.618e-5
0.287, -3.686e-5
0.289, -3.753e-5
0.291, -3.819e-5
0.293, -3.885e-5
0.295, -3.950e-5
0.297, -4.013e-5
0.299, -4.075e-5
0.301, -4.136e-5
0.303, -4.195e-5
0.305, -4.254e-5
0.307, -4.312e-5
0.309, -4.368e-5
0.311, -4.422e-5
0.313, -4.475e-5
0.315, -4.526e-5
0.317, -4.576e-5
0.319, -4.624e-5
0.321, -4.669e-5
0.323, -4.714e-5
0.325, -4.756e-5
0.327, -4.797e-5
0.329, -4.835e-5
0.331, -4.872e-5
0.333, -4.906e-5
0.335, -4.937e-5
0.337, -4.968e-5
0.339, -4.995e-5
0.341, -5.022e-5
0.343, -5.046e-5
0.345, -5.068e-5
0.347, -5.086e-5
0.349, -5.104e-5
0.351, -5.118e-5
0.353, -5.132e-5
0.355, -5.142e-5
0.357, -5.152e-5
0.359, -5.159e-5
0.361, -5.165e-5
0.363, -5.168e-5
0.365, -5.170e-5
0.367, -5.170e-5
0.369, -5.168e-5
0.371, -5.165e-5
0.373, -5.159e-5
0.375, -5.153e-5
0.377, -5.145e-5
0.379, -5.135e-5
0.381, -5.124e-5
0.383, -5.113e-5
0.385, -5.101e-5
0.387, -5.087e-5
0.389, -5.071e-5
0.391, -5.055e-5
0.393, -5.038e-5
0.395, -5.020e-5
0.397, -5.001e-5
0.399, -4.982e-5
0.401, -4.962e-5
0.403, -4.941e-5
0.405, -4.920e-5
0.407, -4.899e-5
0.409, -4.876e-5
0.411, -4.854e-5
0.413, -4.831e-5
0.415, -4.809e-5
0.417, -4.785e-5
0.419, -4.761e-5
0.421, -4.737e-5
0.423, -4.713e-5
0.425, -4.689e-5
0.427, -4.665e-5
0.429, -4.640e-5
0.431, -4.616e-5
0.433, -4.592e-5
0.435, -4.567e-5
0.437, -4.543e-5
0.439, -4.519e-5
0.441, -4.496e-5
0.443, -4.471e-5
0.445, -4.448e-5
0.447, -4.424e-5
0.449, -4.400e-5
0.451, -4.376e-5
0.453, -4.353e-5
0.455, -4.330e-5
0.457, -4.307e-5
0.459, -4.284e-5
0.461, -4.261e-5
0.463, -4.239e-5
0.465, -4.216e-5
0.467, -4.194e-5
0.469, -4.172e-5
0.471, -4.150e-5
0.473, -4.129e-5
0.475, -4.107e-5
0.477, -4.087e-5
0.479, -4.066e-5
0.481, -4.045e-5
0.483, -4.025e-5
0.485, -4.004e-5
0.487, -3.984e-5
0.489, -3.964e-5
0.491, -3.944e-5
0.493, -3.925e-5
0.495, -3.905e-5
0.497, -3.886e-5
0.499, -3.867e-5
0.501, -3.848e-5
0.503, -3.830e-5
0.505, -3.812e-5
0.507, -3.794e-5
0.509, -3.776e-5
0.511, -3.759e-5
0.513, -3.741e-5
0.515, -3.724e-5
0.517, -3.708e-5
0.519, -3.691e-5
0.521, -3.674e-5
0.523, -3.658e-5
0.525, -3.642e-5
0.527, -3.626e-5
0.529, -3.610e-5
0.531, -3.595e-5
0.533, -3.579e-5
0.535, -3.564e-5
0.537, -3.549e-5
0.539, -3.534e-5
0.541, -3.521e-5
0.543, -3.507e-5
0.545, -3.492e-5
0.547, -3.478e-5
0.549, -3.464e-5
0.551, -3.451e-5
0.553, -3.437e-5
0.555, -3.424e-5
0.557, -3.411e-5
0.559, -3.398e-5
0.561, -3.385e-5
0.563, -3.372e-5
0.565, -3.360e-5
0.567, -3.347e-5
0.569, -3.335e-5
0.571, -3.323e-5
0.573, -3.311e-5
0.575, -3.300e-5
0.577, -3.288e-5
0.579, -3.277e-5
0.581, -3.265e-5
0.583, -3.254e-5
0.585, -3.243e-5
0.587, -3.232e-5
0.589, -3.221e-5
0.591, -3.211e-5
0.593, -3.200e-5
0.595, -3.190e-5
0.597, -3.179e-5
0.599, -3.169e-5
0.601, -3.159e-5
0.603, -3.149e-5
0.605, -3.139e-5
0.607, -3.130e-5
0.609, -3.120e-5
0.611, -3.110e-5
0.613, -3.101e-5
0.615, -3.091e-5
0.617, -3.083e-5
0.619, -3.074e-5
0.621, -3.065e-5
0.623, -3.056e-5
0.625, -3.047e-5
0.627, -3.038e-5
0.629, -3.030e-5
0.631, -3.022e-5
0.633, -3.014e-5
0.635, -3.005e-5
0.637, -2.997e-5
0.639, -2.989e-5
0.641, -2.981e-5
0.643, -2.973e-5
0.645, -2.966e-5
0.647, -2.958e-5
0.649, -2.951e-5
0.651, -2.943e-5
0.653, -2.936e-5
0.655, -2.929e-5
0.657, -2.922e-5
0.659, -2.915e-5
0.661, -2.908e-5
0.663, -2.901e-5
0.665, -2.894e-5
0.667, -2.887e-5
0.669, -2.881e-5
0.671, -2.874e-5
0.673, -2.867e-5
