Sept. 5, 2019   16:21:48
Cyclic Voltammetry
File: c:\users\1\desktop\2019Data Source:  Experiment
Instrument Model:  CHI630E
Header: 
Note: 

Init E (V) = -0.2
High E (V) = 1
Low E (V) = -0.2
Init P/N = P
Scan Rate (V/s) = 0.04
Segment = 2
Sample Interval (V) = 0.002
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Segment 1:
Ep = 0.341V
ip = -3.341e-5A
Ah = -8.623e-5C

Segment 2:

Potential/V, Current/A

-0.199, 9.440e-7
-0.197, 8.230e-7
-0.195, 7.651e-7
-0.193, 7.168e-7
-0.191, 6.749e-7
-0.189, 6.355e-7
-0.187, 6.009e-7
-0.185, 5.672e-7
-0.183, 5.349e-7
-0.181, 5.050e-7
-0.179, 4.765e-7
-0.177, 4.487e-7
-0.175, 4.237e-7
-0.173, 3.985e-7
-0.171, 3.748e-7
-0.169, 3.518e-7
-0.167, 3.299e-7
-0.165, 3.085e-7
-0.163, 2.882e-7
-0.161, 2.660e-7
-0.159, 2.460e-7
-0.157, 2.270e-7
-0.155, 2.069e-7
-0.153, 1.890e-7
-0.151, 1.719e-7
-0.149, 1.549e-7
-0.147, 1.372e-7
-0.145, 1.223e-7
-0.143, 1.059e-7
-0.141, 9.281e-8
-0.139, 7.862e-8
-0.137, 6.444e-8
-0.135, 4.884e-8
-0.133, 3.577e-8
-0.131, 2.300e-8
-0.129, 1.087e-8
-0.127, -1.891e-9
-0.125, -1.339e-8
-0.123, -2.584e-8
-0.121, -3.734e-8
-0.119, -4.821e-8
-0.117, -5.917e-8
-0.115, -6.996e-8
-0.113, -8.067e-8
-0.111, -9.202e-8
-0.109, -1.019e-7
-0.107, -1.120e-7
-0.105, -1.220e-7
-0.103, -1.324e-7
-0.101, -1.401e-7
-0.099, -1.512e-7
-0.097, -1.602e-7
-0.095, -1.694e-7
-0.093, -1.788e-7
-0.091, -1.873e-7
-0.089, -1.936e-7
-0.087, -2.045e-7
-0.085, -2.118e-7
-0.083, -2.203e-7
-0.081, -2.288e-7
-0.079, -2.368e-7
-0.077, -2.425e-7
-0.075, -2.524e-7
-0.073, -2.595e-7
-0.071, -2.671e-7
-0.069, -2.740e-7
-0.067, -2.814e-7
-0.065, -2.870e-7
-0.063, -2.939e-7
-0.061, -3.019e-7
-0.059, -3.087e-7
-0.057, -3.156e-7
-0.055, -3.213e-7
-0.053, -3.269e-7
-0.051, -3.317e-7
-0.049, -3.393e-7
-0.047, -3.462e-7
-0.045, -3.518e-7
-0.043, -3.578e-7
-0.041, -3.637e-7
-0.039, -3.695e-7
-0.037, -3.737e-7
-0.035, -3.810e-7
-0.033, -3.849e-7
-0.031, -3.912e-7
-0.029, -3.972e-7
-0.027, -4.027e-7
-0.025, -4.084e-7
-0.023, -4.136e-7
-0.021, -4.187e-7
-0.019, -4.249e-7
-0.017, -4.298e-7
-0.015, -4.336e-7
-0.013, -4.401e-7
-0.011, -4.460e-7
-0.009, -4.513e-7
-0.007, -4.561e-7
-0.005, -4.599e-7
-0.003, -4.658e-7
-0.001, -4.708e-7
0.001, -4.762e-7
0.003, -4.795e-7
0.005, -4.867e-7
0.007, -4.913e-7
0.009, -4.964e-7
0.011, -5.006e-7
0.013, -5.052e-7
0.015, -5.100e-7
0.017, -5.146e-7
0.019, -5.204e-7
0.021, -5.249e-7
0.023, -5.279e-7
0.025, -5.343e-7
0.027, -5.381e-7
0.029, -5.439e-7
0.031, -5.489e-7
0.033, -5.534e-7
0.035, -5.578e-7
0.037, -5.624e-7
0.039, -5.671e-7
0.041, -5.720e-7
0.043, -5.742e-7
0.045, -5.800e-7
0.047, -5.847e-7
0.049, -5.905e-7
0.051, -5.939e-7
0.053, -6.002e-7
0.055, -6.054e-7
0.057, -6.099e-7
0.059, -6.146e-7
0.061, -6.173e-7
0.063, -6.229e-7
0.065, -6.279e-7
0.067, -6.334e-7
0.069, -6.389e-7
0.071, -6.448e-7
0.073, -6.498e-7
0.075, -6.540e-7
0.077, -6.588e-7
0.079, -6.674e-7
0.081, -6.745e-7
0.083, -6.805e-7
0.085, -6.895e-7
0.087, -6.974e-7
0.089, -7.053e-7
0.091, -7.114e-7
0.093, -7.238e-7
0.095, -7.335e-7
0.097, -7.451e-7
0.099, -7.551e-7
0.101, -7.680e-7
0.103, -7.810e-7
0.105, -7.982e-7
0.107, -8.132e-7
0.109, -8.308e-7
0.111, -8.504e-7
0.113, -8.704e-7
0.115, -8.940e-7
0.117, -9.199e-7
0.119, -9.460e-7
0.121, -9.766e-7
0.123, -1.010e-6
0.125, -1.047e-6
0.127, -1.087e-6
0.129, -1.130e-6
0.131, -1.180e-6
0.133, -1.232e-6
0.135, -1.292e-6
0.137, -1.355e-6
0.139, -1.424e-6
0.141, -1.500e-6
0.143, -1.579e-6
0.145, -1.668e-6
0.147, -1.759e-6
0.149, -1.863e-6
0.151, -1.975e-6
0.153, -2.095e-6
0.155, -2.226e-6
0.157, -2.367e-6
0.159, -2.517e-6
0.161, -2.679e-6
0.163, -2.850e-6
0.165, -3.032e-6
0.167, -3.225e-6
0.169, -3.432e-6
0.171, -3.650e-6
0.173, -3.866e-6
0.175, -4.106e-6
0.177, -4.363e-6
0.179, -4.632e-6
0.181, -4.912e-6
0.183, -5.208e-6
0.185, -5.516e-6
0.187, -5.833e-6
0.189, -6.167e-6
0.191, -6.514e-6
0.193, -6.871e-6
0.195, -7.244e-6
0.197, -7.633e-6
0.199, -8.032e-6
0.201, -8.440e-6
0.203, -8.858e-6
0.205, -9.286e-6
0.207, -9.724e-6
0.209, -1.017e-5
0.211, -1.063e-5
0.213, -1.110e-5
0.215, -1.159e-5
0.217, -1.207e-5
0.219, -1.256e-5
0.221, -1.306e-5
0.223, -1.357e-5
0.225, -1.408e-5
0.227, -1.460e-5
0.229, -1.513e-5
0.231, -1.566e-5
0.233, -1.620e-5
0.235, -1.674e-5
0.237, -1.727e-5
0.239, -1.781e-5
0.241, -1.836e-5
0.243, -1.890e-5
0.245, -1.944e-5
0.247, -1.997e-5
0.249, -2.052e-5
0.251, -2.106e-5
0.253, -2.160e-5
0.255, -2.214e-5
0.257, -2.267e-5
0.259, -2.321e-5
0.261, -2.374e-5
0.263, -2.427e-5
0.265, -2.479e-5
0.267, -2.530e-5
0.269, -2.579e-5
0.271, -2.628e-5
0.273, -2.678e-5
0.275, -2.726e-5
0.277, -2.773e-5
0.279, -2.819e-5
0.281, -2.864e-5
0.283, -2.907e-5
0.285, -2.949e-5
0.287, -2.991e-5
0.289, -3.031e-5
0.291, -3.070e-5
0.293, -3.108e-5
0.295, -3.144e-5
0.297, -3.179e-5
0.299, -3.212e-5
0.301, -3.244e-5
0.303, -3.274e-5
0.305, -3.302e-5
0.307, -3.329e-5
0.309, -3.354e-5
0.311, -3.378e-5
0.313, -3.400e-5
0.315, -3.421e-5
0.317, -3.440e-5
0.319, -3.457e-5
0.321, -3.472e-5
0.323, -3.486e-5
0.325, -3.499e-5
0.327, -3.510e-5
0.329, -3.519e-5
0.331, -3.526e-5
0.333, -3.532e-5
0.335, -3.537e-5
0.337, -3.541e-5
0.339, -3.543e-5
0.341, -3.544e-5
0.343, -3.544e-5
0.345, -3.543e-5
0.347, -3.540e-5
0.349, -3.537e-5
0.351, -3.532e-5
0.353, -3.527e-5
0.355, -3.521e-5
0.357, -3.514e-5
0.359, -3.506e-5
0.361, -3.497e-5
0.363, -3.487e-5
0.365, -3.477e-5
0.367, -3.466e-5
0.369, -3.455e-5
0.371, -3.442e-5
0.373, -3.430e-5
0.375, -3.417e-5
0.377, -3.403e-5
0.379, -3.390e-5
0.381, -3.375e-5
0.383, -3.361e-5
0.385, -3.346e-5
0.387, -3.331e-5
0.389, -3.316e-5
0.391, -3.301e-5
0.393, -3.286e-5
0.395, -3.270e-5
0.397, -3.254e-5
0.399, -3.238e-5
0.401, -3.222e-5
0.403, -3.206e-5
0.405, -3.190e-5
0.407, -3.174e-5
0.409, -3.158e-5
0.411, -3.142e-5
0.413, -3.125e-5
0.415, -3.109e-5
0.417, -3.093e-5
0.419, -3.077e-5
0.421, -3.061e-5
0.423, -3.045e-5
0.425, -3.030e-5
0.427, -3.014e-5
0.429, -2.999e-5
0.431, -2.983e-5
0.433, -2.968e-5
0.435, -2.953e-5
0.437, -2.938e-5
0.439, -2.923e-5
0.441, -2.908e-5
0.443, -2.893e-5
0.445, -2.879e-5
0.447, -2.865e-5
0.449, -2.850e-5
0.451, -2.836e-5
0.453, -2.822e-5
0.455, -2.808e-5
0.457, -2.794e-5
0.459, -2.781e-5
0.461, -2.767e-5
0.463, -2.754e-5
0.465, -2.741e-5
0.467, -2.728e-5
0.469, -2.715e-5
0.471, -2.702e-5
0.473, -2.689e-5
0.475, -2.677e-5
0.477, -2.664e-5
0.479, -2.652e-5
0.481, -2.640e-5
0.483, -2.628e-5
0.485, -2.617e-5
0.487, -2.605e-5
0.489, -2.594e-5
0.491, -2.583e-5
0.493, -2.571e-5
0.495, -2.560e-5
0.497, -2.550e-5
0.499, -2.539e-5
0.501, -2.529e-5
0.503, -2.518e-5
0.505, -2.508e-5
0.507, -2.498e-5
0.509, -2.488e-5
0.511, -2.478e-5
0.513, -2.468e-5
0.515, -2.459e-5
0.517, -2.449e-5
0.519, -2.440e-5
0.521, -2.431e-5
0.523, -2.421e-5
0.525, -2.412e-5
0.527, -2.403e-5
0.529, -2.394e-5
0.531, -2.386e-5
0.533, -2.377e-5
0.535, -2.369e-5
0.537, -2.360e-5
0.539, -2.352e-5
0.541, -2.344e-5
0.543, -2.336e-5
0.545, -2.328e-5
0.547, -2.320e-5
0.549, -2.312e-5
0.551, -2.304e-5
0.553, -2.297e-5
0.555, -2.289e-5
0.557, -2.282e-5
0.559, -2.275e-5
0.561, -2.268e-5
0.563, -2.261e-5
0.565, -2.254e-5
0.567, -2.247e-5
0.569, -2.240e-5
0.571, -2.234e-5
0.573, -2.227e-5
0.575, -2.220e-5
0.577, -2.214e-5
0.579, -2.208e-5
0.581, -2.201e-5
0.583, -2.195e-5
0.585, -2.189e-5
0.587, -2.183e-5
0.589, -2.177e-5
0.591, -2.171e-5
0.593, -2.166e-5
0.595, -2.160e-5
0.597, -2.154e-5
0.599, -2.149e-5
0.601, -2.143e-5
0.603, -2.138e-5
0.605, -2.133e-5
0.607, -2.127e-5
0.609, -2.122e-5
0.611, -2.117e-5
0.613, -2.112e-5
0.615, -2.107e-5
0.617, -2.102e-5
0.619, -2.097e-5
0.621, -2.092e-5
0.623, -2.087e-5
0.625, -2.082e-5
0.627, -2.077e-5
0.629, -2.073e-5
0.631, -2.068e-5
0.633, -2.064e-5
0.635, -2.059e-5
0.637, -2.055e-5
0.639, -2.050e-5
0.641, -2.046e-5
0.643, -2.042e-5
0.645, -2.037e-5
0.647, -2.033e-5
0.649, -2.029e-5
0.651, -2.025e-5
0.653, -2.021e-5
0.655, -2.016e-5
0.657, -2.012e-5
0.659, -2.009e-5
0.661, -2.005e-5
0.663, -2.001e-5
0.665, -1.997e-5
0.667, -1.993e-5
0.669, -1.990e-5
0.671, -1.986e-5
0.673, -1.982e-5
