Sept. 5, 2019   16:16:23
Cyclic Voltammetry
File: c:\users\1\desktop\2019Data Source:  Experiment
Instrument Model:  CHI630E
Header: 
Note: 

Init E (V) = -0.2
High E (V) = 1
Low E (V) = -0.2
Init P/N = P
Scan Rate (V/s) = 0.01
Segment = 2
Sample Interval (V) = 0.002
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Segment 1:
Ep = 0.289V
ip = -2.992e-5A
Ah = -2.827e-4C

Segment 2:

Potential/V, Current/A

-0.199, 8.318e-7
-0.197, 7.648e-7
-0.195, 7.133e-7
-0.193, 6.678e-7
-0.191, 6.284e-7
-0.189, 5.920e-7
-0.187, 5.575e-7
-0.185, 5.250e-7
-0.183, 4.947e-7
-0.181, 4.672e-7
-0.179, 4.401e-7
-0.177, 4.142e-7
-0.175, 3.908e-7
-0.173, 3.674e-7
-0.171, 3.462e-7
-0.169, 3.262e-7
-0.167, 3.065e-7
-0.165, 2.872e-7
-0.163, 2.753e-7
-0.161, 2.672e-7
-0.159, 2.516e-7
-0.157, 2.359e-7
-0.155, 2.208e-7
-0.153, 2.072e-7
-0.151, 1.935e-7
-0.149, 1.803e-7
-0.147, 1.673e-7
-0.145, 1.545e-7
-0.143, 1.435e-7
-0.141, 1.323e-7
-0.139, 1.223e-7
-0.137, 1.120e-7
-0.135, 1.018e-7
-0.133, 9.249e-8
-0.131, 8.375e-8
-0.129, 7.453e-8
-0.127, 6.468e-8
-0.125, 5.594e-8
-0.123, 4.790e-8
-0.121, 3.955e-8
-0.119, 3.230e-8
-0.117, 2.458e-8
-0.115, 1.859e-8
-0.113, 9.848e-9
-0.111, 3.545e-9
-0.109, -3.388e-9
-0.107, -9.296e-9
-0.105, -1.513e-8
-0.103, -2.143e-8
-0.101, -2.757e-8
-0.099, -3.340e-8
-0.097, -3.915e-8
-0.095, -4.491e-8
-0.093, -5.089e-8
-0.091, -5.617e-8
-0.089, -6.098e-8
-0.087, -6.657e-8
-0.085, -7.114e-8
-0.083, -7.673e-8
-0.081, -8.209e-8
-0.079, -8.635e-8
-0.077, -9.107e-8
-0.075, -9.611e-8
-0.073, -1.004e-7
-0.071, -1.049e-7
-0.069, -1.091e-7
-0.067, -1.132e-7
-0.065, -1.171e-7
-0.063, -1.209e-7
-0.061, -1.249e-7
-0.059, -1.290e-7
-0.057, -1.325e-7
-0.055, -1.356e-7
-0.053, -1.394e-7
-0.051, -1.432e-7
-0.049, -1.469e-7
-0.047, -1.503e-7
-0.045, -1.539e-7
-0.043, -1.575e-7
-0.041, -1.606e-7
-0.039, -1.633e-7
-0.037, -1.669e-7
-0.035, -1.702e-7
-0.033, -1.733e-7
-0.031, -1.762e-7
-0.029, -1.787e-7
-0.027, -1.818e-7
-0.025, -1.851e-7
-0.023, -1.879e-7
-0.021, -1.903e-7
-0.019, -1.933e-7
-0.017, -1.959e-7
-0.015, -1.988e-7
-0.013, -2.012e-7
-0.011, -2.045e-7
-0.009, -2.063e-7
-0.007, -2.091e-7
-0.005, -2.122e-7
-0.003, -2.140e-7
-0.001, -2.164e-7
0.001, -2.196e-7
0.003, -2.230e-7
0.005, -2.253e-7
0.007, -2.271e-7
0.009, -2.296e-7
0.011, -2.318e-7
0.013, -2.340e-7
0.015, -2.365e-7
0.017, -2.387e-7
0.019, -2.409e-7
0.021, -2.441e-7
0.023, -2.458e-7
0.025, -2.480e-7
0.027, -2.505e-7
0.029, -2.530e-7
0.031, -2.549e-7
0.033, -2.573e-7
0.035, -2.598e-7
0.037, -2.624e-7
0.039, -2.650e-7
0.041, -2.677e-7
0.043, -2.710e-7
0.045, -2.742e-7
0.047, -2.767e-7
0.049, -2.796e-7
0.051, -2.841e-7
0.053, -2.885e-7
0.055, -2.919e-7
0.057, -2.961e-7
0.059, -3.011e-7
0.061, -3.061e-7
0.063, -3.113e-7
0.065, -3.172e-7
0.067, -3.243e-7
0.069, -3.318e-7
0.071, -3.410e-7
0.073, -3.493e-7
0.075, -3.611e-7
0.077, -3.726e-7
0.079, -3.871e-7
0.081, -4.023e-7
0.083, -4.196e-7
0.085, -4.401e-7
0.087, -4.622e-7
0.089, -4.863e-7
0.091, -5.143e-7
0.093, -5.471e-7
0.095, -5.823e-7
0.097, -6.217e-7
0.099, -6.666e-7
0.101, -7.172e-7
0.103, -7.738e-7
0.105, -8.367e-7
0.107, -9.066e-7
0.109, -9.822e-7
0.111, -1.069e-6
0.113, -1.163e-6
0.115, -1.268e-6
0.117, -1.383e-6
0.119, -1.510e-6
0.121, -1.645e-6
0.123, -1.791e-6
0.125, -1.952e-6
0.127, -2.128e-6
0.129, -2.317e-6
0.131, -2.521e-6
0.133, -2.741e-6
0.135, -2.973e-6
0.137, -3.219e-6
0.139, -3.480e-6
0.141, -3.751e-6
0.143, -4.026e-6
0.145, -4.330e-6
0.147, -4.648e-6
0.149, -4.978e-6
0.151, -5.321e-6
0.153, -5.672e-6
0.155, -6.032e-6
0.157, -6.409e-6
0.159, -6.798e-6
0.161, -7.195e-6
0.163, -7.606e-6
0.165, -8.023e-6
0.167, -8.445e-6
0.169, -8.876e-6
0.171, -9.312e-6
0.173, -9.753e-6
0.175, -1.020e-5
0.177, -1.066e-5
0.179, -1.112e-5
0.181, -1.158e-5
0.183, -1.205e-5
0.185, -1.253e-5
0.187, -1.301e-5
0.189, -1.349e-5
0.191, -1.397e-5
0.193, -1.445e-5
0.195, -1.494e-5
0.197, -1.543e-5
0.199, -1.593e-5
0.201, -1.643e-5
0.203, -1.692e-5
0.205, -1.741e-5
0.207, -1.790e-5
0.209, -1.839e-5
0.211, -1.888e-5
0.213, -1.937e-5
0.215, -1.985e-5
0.217, -2.033e-5
0.219, -2.081e-5
0.221, -2.129e-5
0.223, -2.176e-5
0.225, -2.222e-5
0.227, -2.269e-5
0.229, -2.314e-5
0.231, -2.359e-5
0.233, -2.404e-5
0.235, -2.447e-5
0.237, -2.489e-5
0.239, -2.530e-5
0.241, -2.570e-5
0.243, -2.609e-5
0.245, -2.646e-5
0.247, -2.683e-5
0.249, -2.718e-5
0.251, -2.751e-5
0.253, -2.783e-5
0.255, -2.814e-5
0.257, -2.842e-5
0.259, -2.869e-5
0.261, -2.895e-5
0.263, -2.918e-5
0.265, -2.940e-5
0.267, -2.959e-5
0.269, -2.977e-5
0.271, -2.993e-5
0.273, -3.007e-5
0.275, -3.020e-5
0.277, -3.030e-5
0.279, -3.039e-5
0.281, -3.046e-5
0.283, -3.050e-5
0.285, -3.054e-5
0.287, -3.056e-5
0.289, -3.056e-5
0.291, -3.055e-5
0.293, -3.052e-5
0.295, -3.048e-5
0.297, -3.043e-5
0.299, -3.037e-5
0.301, -3.029e-5
0.303, -3.021e-5
0.305, -3.012e-5
0.307, -3.001e-5
0.309, -2.990e-5
0.311, -2.979e-5
0.313, -2.966e-5
0.315, -2.954e-5
0.317, -2.940e-5
0.319, -2.927e-5
0.321, -2.912e-5
0.323, -2.898e-5
0.325, -2.883e-5
0.327, -2.868e-5
0.329, -2.852e-5
0.331, -2.837e-5
0.333, -2.820e-5
0.335, -2.805e-5
0.337, -2.789e-5
0.339, -2.772e-5
0.341, -2.757e-5
0.343, -2.741e-5
0.345, -2.724e-5
0.347, -2.708e-5
0.349, -2.692e-5
0.351, -2.676e-5
0.353, -2.660e-5
0.355, -2.644e-5
0.357, -2.628e-5
0.359, -2.613e-5
0.361, -2.597e-5
0.363, -2.582e-5
0.365, -2.566e-5
0.367, -2.551e-5
0.369, -2.537e-5
0.371, -2.522e-5
0.373, -2.507e-5
0.375, -2.492e-5
0.377, -2.478e-5
0.379, -2.464e-5
0.381, -2.449e-5
0.383, -2.436e-5
0.385, -2.421e-5
0.387, -2.408e-5
0.389, -2.394e-5
0.391, -2.381e-5
0.393, -2.368e-5
0.395, -2.355e-5
0.397, -2.342e-5
0.399, -2.329e-5
0.401, -2.316e-5
0.403, -2.303e-5
0.405, -2.291e-5
0.407, -2.279e-5
0.409, -2.267e-5
0.411, -2.255e-5
0.413, -2.244e-5
0.415, -2.232e-5
0.417, -2.221e-5
0.419, -2.210e-5
0.421, -2.199e-5
0.423, -2.188e-5
0.425, -2.177e-5
0.427, -2.167e-5
0.429, -2.157e-5
0.431, -2.147e-5
0.433, -2.137e-5
0.435, -2.127e-5
0.437, -2.117e-5
0.439, -2.107e-5
0.441, -2.098e-5
0.443, -2.088e-5
0.445, -2.079e-5
0.447, -2.070e-5
0.449, -2.061e-5
0.451, -2.052e-5
0.453, -2.044e-5
0.455, -2.035e-5
0.457, -2.026e-5
0.459, -2.018e-5
0.461, -2.009e-5
0.463, -2.001e-5
0.465, -1.993e-5
0.467, -1.985e-5
0.469, -1.978e-5
0.471, -1.970e-5
0.473, -1.962e-5
0.475, -1.955e-5
0.477, -1.949e-5
0.479, -1.942e-5
0.481, -1.935e-5
0.483, -1.928e-5
0.485, -1.921e-5
0.487, -1.914e-5
0.489, -1.907e-5
0.491, -1.900e-5
0.493, -1.894e-5
0.495, -1.887e-5
0.497, -1.881e-5
0.499, -1.874e-5
0.501, -1.868e-5
0.503, -1.862e-5
0.505, -1.856e-5
0.507, -1.850e-5
0.509, -1.844e-5
0.511, -1.838e-5
0.513, -1.832e-5
0.515, -1.827e-5
0.517, -1.821e-5
0.519, -1.815e-5
0.521, -1.810e-5
0.523, -1.804e-5
0.525, -1.799e-5
0.527, -1.794e-5
0.529, -1.788e-5
0.531, -1.783e-5
0.533, -1.778e-5
0.535, -1.773e-5
0.537, -1.768e-5
0.539, -1.763e-5
0.541, -1.758e-5
0.543, -1.754e-5
0.545, -1.749e-5
0.547, -1.745e-5
0.549, -1.740e-5
0.551, -1.735e-5
0.553, -1.731e-5
0.555, -1.726e-5
0.557, -1.722e-5
0.559, -1.718e-5
0.561, -1.714e-5
0.563, -1.709e-5
0.565, -1.705e-5
0.567, -1.701e-5
0.569, -1.697e-5
0.571, -1.693e-5
0.573, -1.689e-5
0.575, -1.685e-5
0.577, -1.681e-5
0.579, -1.677e-5
0.581, -1.673e-5
0.583, -1.669e-5
0.585, -1.665e-5
0.587, -1.662e-5
0.589, -1.658e-5
0.591, -1.655e-5
0.593, -1.651e-5
0.595, -1.648e-5
0.597, -1.644e-5
0.599, -1.640e-5
0.601, -1.637e-5
0.603, -1.634e-5
0.605, -1.630e-5
0.607, -1.627e-5
0.609, -1.624e-5
0.611, -1.621e-5
0.613, -1.617e-5
0.615, -1.614e-5
0.617, -1.611e-5
0.619, -1.608e-5
0.621, -1.605e-5
0.623, -1.602e-5
0.625, -1.599e-5
0.627, -1.596e-5
0.629, -1.593e-5
0.631, -1.590e-5
0.633, -1.587e-5
0.635, -1.584e-5
0.637, -1.582e-5
0.639, -1.579e-5
0.641, -1.576e-5
0.643, -1.573e-5
0.645, -1.571e-5
0.647, -1.568e-5
0.649, -1.566e-5
0.651, -1.563e-5
0.653, -1.560e-5
0.655, -1.558e-5
0.657, -1.555e-5
0.659, -1.552e-5
0.661, -1.550e-5
0.663, -1.548e-5
0.665, -1.545e-5
0.667, -1.543e-5
0.669, -1.540e-5
0.671, -1.538e-5
0.673, -1.536e-5
