Sept. 5, 2019   15:23:37
Cyclic Voltammetry
File: c:\users\1\desktop\2019Data Source:  Experiment
Instrument Model:  CHI630E
Header: 
Note: 

Init E (V) = 0.6
High E (V) = 0.6
Low E (V) = -0.2
Init P/N = N
Scan Rate (V/s) = 0.02
Segment = 2
Sample Interval (V) = 0.002
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:
Ep = 0.193V
ip = 2.811e-5A
Ah = 9.981e-5C

Segment 2:
Ep = 0.279V
ip = -2.860e-5A
Ah = -1.016e-4C

Potential/V, Current/A

0.599, -7.033e-7
0.597, -6.532e-7
0.595, -6.230e-7
0.593, -5.972e-7
0.591, -5.745e-7
0.589, -5.543e-7
0.587, -5.340e-7
0.585, -5.155e-7
0.583, -4.981e-7
0.581, -4.816e-7
0.579, -4.657e-7
0.577, -4.505e-7
0.575, -4.367e-7
0.573, -4.228e-7
0.571, -4.092e-7
0.569, -3.966e-7
0.567, -3.846e-7
0.565, -3.741e-7
0.563, -3.631e-7
0.561, -3.518e-7
0.559, -3.410e-7
0.557, -3.305e-7
0.555, -3.205e-7
0.553, -3.106e-7
0.551, -3.012e-7
0.549, -2.924e-7
0.547, -2.831e-7
0.545, -2.740e-7
0.543, -2.654e-7
0.541, -2.572e-7
0.539, -2.488e-7
0.537, -2.411e-7
0.535, -2.332e-7
0.533, -2.257e-7
0.531, -2.180e-7
0.529, -2.105e-7
0.527, -2.035e-7
0.525, -1.967e-7
0.523, -1.896e-7
0.521, -1.828e-7
0.519, -1.763e-7
0.517, -1.702e-7
0.515, -1.637e-7
0.513, -1.573e-7
0.511, -1.516e-7
0.509, -1.454e-7
0.507, -1.391e-7
0.505, -1.333e-7
0.503, -1.275e-7
0.501, -1.218e-7
0.499, -1.162e-7
0.497, -1.104e-7
0.495, -1.050e-7
0.493, -9.945e-8
0.491, -9.396e-8
0.489, -8.865e-8
0.487, -8.343e-8
0.485, -7.862e-8
0.483, -7.303e-8
0.481, -6.758e-8
0.479, -6.281e-8
0.477, -5.776e-8
0.475, -5.236e-8
0.473, -4.768e-8
0.471, -4.238e-8
0.469, -3.763e-8
0.467, -3.258e-8
0.465, -2.754e-8
0.463, -2.271e-8
0.461, -1.787e-8
0.459, -1.268e-8
0.457, -7.642e-9
0.455, -2.553e-9
0.453, 2.411e-9
0.451, 7.595e-9
0.449, 1.294e-8
0.447, 1.768e-8
0.445, 2.347e-8
0.443, 2.946e-8
0.441, 3.492e-8
0.439, 4.057e-8
0.437, 4.639e-8
0.435, 5.204e-8
0.433, 5.817e-8
0.431, 6.426e-8
0.429, 7.064e-8
0.427, 7.734e-8
0.425, 8.414e-8
0.423, 9.096e-8
0.421, 9.802e-8
0.419, 1.057e-7
0.417, 1.134e-7
0.415, 1.214e-7
0.413, 1.300e-7
0.411, 1.392e-7
0.409, 1.483e-7
0.407, 1.581e-7
0.405, 1.682e-7
0.403, 1.792e-7
0.401, 1.909e-7
0.399, 2.029e-7
0.397, 2.151e-7
0.395, 2.283e-7
0.393, 2.428e-7
0.391, 2.579e-7
0.389, 2.741e-7
0.387, 2.915e-7
0.385, 3.097e-7
0.383, 3.282e-7
0.381, 3.492e-7
0.379, 3.716e-7
0.377, 3.949e-7
0.375, 4.199e-7
0.373, 4.469e-7
0.371, 4.750e-7
0.369, 5.059e-7
0.367, 5.384e-7
0.365, 5.731e-7
0.363, 6.108e-7
0.361, 6.502e-7
0.359, 6.931e-7
0.357, 7.379e-7
0.355, 7.870e-7
0.353, 8.405e-7
0.351, 8.967e-7
0.349, 9.561e-7
0.347, 1.021e-6
0.345, 1.088e-6
0.343, 1.162e-6
0.341, 1.238e-6
0.339, 1.323e-6
0.337, 1.413e-6
0.335, 1.509e-6
0.333, 1.611e-6
0.331, 1.720e-6
0.329, 1.838e-6
0.327, 1.964e-6
0.325, 2.096e-6
0.323, 2.239e-6
0.321, 2.392e-6
0.319, 2.550e-6
0.317, 2.722e-6
0.315, 2.906e-6
0.313, 3.101e-6
0.311, 3.309e-6
0.309, 3.527e-6
0.307, 3.762e-6
0.305, 4.010e-6
0.303, 4.271e-6
0.301, 4.545e-6
0.299, 4.839e-6
0.297, 5.148e-6
0.295, 5.474e-6
0.293, 5.810e-6
0.291, 6.171e-6
0.289, 6.554e-6
0.287, 6.951e-6
0.285, 7.365e-6
0.283, 7.800e-6
0.281, 8.247e-6
0.279, 8.719e-6
0.277, 9.208e-6
0.275, 9.719e-6
0.273, 1.025e-5
0.271, 1.079e-5
0.269, 1.135e-5
0.267, 1.192e-5
0.265, 1.252e-5
0.263, 1.313e-5
0.261, 1.375e-5
0.259, 1.438e-5
0.257, 1.502e-5
0.255, 1.566e-5
0.253, 1.632e-5
0.251, 1.698e-5
0.249, 1.764e-5
0.247, 1.830e-5
0.245, 1.896e-5
0.243, 1.960e-5
0.241, 2.025e-5
0.239, 2.088e-5
0.237, 2.151e-5
0.235, 2.212e-5
0.233, 2.272e-5
0.231, 2.330e-5
0.229, 2.383e-5
0.227, 2.436e-5
0.225, 2.487e-5
0.223, 2.535e-5
0.221, 2.580e-5
0.219, 2.623e-5
0.217, 2.661e-5
0.215, 2.697e-5
0.213, 2.730e-5
0.211, 2.760e-5
0.209, 2.786e-5
0.207, 2.809e-5
0.205, 2.829e-5
0.203, 2.845e-5
0.201, 2.859e-5
0.199, 2.870e-5
0.197, 2.878e-5
0.195, 2.883e-5
0.193, 2.886e-5
0.191, 2.885e-5
0.189, 2.882e-5
0.187, 2.878e-5
0.185, 2.871e-5
0.183, 2.862e-5
0.181, 2.852e-5
0.179, 2.839e-5
0.177, 2.825e-5
0.175, 2.810e-5
0.173, 2.794e-5
0.171, 2.777e-5
0.169, 2.758e-5
0.167, 2.739e-5
0.165, 2.718e-5
0.163, 2.698e-5
0.161, 2.677e-5
0.159, 2.656e-5
0.157, 2.634e-5
0.155, 2.612e-5
0.153, 2.589e-5
0.151, 2.567e-5
0.149, 2.544e-5
0.147, 2.522e-5
0.145, 2.499e-5
0.143, 2.477e-5
0.141, 2.455e-5
0.139, 2.433e-5
0.137, 2.411e-5
0.135, 2.389e-5
0.133, 2.368e-5
0.131, 2.347e-5
0.129, 2.326e-5
0.127, 2.306e-5
0.125, 2.286e-5
0.123, 2.266e-5
0.121, 2.246e-5
0.119, 2.227e-5
0.117, 2.208e-5
0.115, 2.190e-5
0.113, 2.172e-5
0.111, 2.154e-5
0.109, 2.136e-5
0.107, 2.119e-5
0.105, 2.103e-5
0.103, 2.086e-5
0.101, 2.070e-5
0.099, 2.054e-5
0.097, 2.039e-5
0.095, 2.023e-5
0.093, 2.009e-5
0.091, 1.994e-5
0.089, 1.980e-5
0.087, 1.966e-5
0.085, 1.952e-5
0.083, 1.939e-5
0.081, 1.926e-5
0.079, 1.913e-5
0.077, 1.900e-5
0.075, 1.888e-5
0.073, 1.876e-5
0.071, 1.864e-5
0.069, 1.852e-5
0.067, 1.841e-5
0.065, 1.830e-5
0.063, 1.819e-5
0.061, 1.808e-5
0.059, 1.797e-5
0.057, 1.787e-5
0.055, 1.777e-5
0.053, 1.767e-5
0.051, 1.757e-5
0.049, 1.748e-5
0.047, 1.738e-5
0.045, 1.729e-5
0.043, 1.720e-5
0.041, 1.711e-5
0.039, 1.702e-5
0.037, 1.694e-5
0.035, 1.685e-5
0.033, 1.677e-5
0.031, 1.669e-5
0.029, 1.661e-5
0.027, 1.653e-5
0.025, 1.645e-5
0.023, 1.638e-5
0.021, 1.630e-5
0.019, 1.623e-5
0.017, 1.616e-5
0.015, 1.609e-5
0.013, 1.602e-5
0.011, 1.595e-5
0.009, 1.588e-5
0.007, 1.582e-5
0.005, 1.575e-5
0.003, 1.568e-5
0.001, 1.562e-5
-0.001, 1.556e-5
-0.003, 1.550e-5
-0.005, 1.544e-5
-0.007, 1.538e-5
-0.009, 1.532e-5
-0.011, 1.526e-5
-0.013, 1.520e-5
-0.015, 1.515e-5
-0.017, 1.509e-5
-0.019, 1.504e-5
-0.021, 1.498e-5
-0.023, 1.493e-5
-0.025, 1.488e-5
-0.027, 1.483e-5
-0.029, 1.478e-5
-0.031, 1.473e-5
-0.033, 1.468e-5
-0.035, 1.463e-5
-0.037, 1.458e-5
-0.039, 1.453e-5
-0.041, 1.449e-5
-0.043, 1.444e-5
-0.045, 1.439e-5
-0.047, 1.435e-5
-0.049, 1.430e-5
-0.051, 1.426e-5
-0.053, 1.422e-5
-0.055, 1.417e-5
-0.057, 1.413e-5
-0.059, 1.409e-5
-0.061, 1.405e-5
-0.063, 1.401e-5
-0.065, 1.397e-5
-0.067, 1.393e-5
-0.069, 1.389e-5
-0.071, 1.385e-5
-0.073, 1.381e-5
-0.075, 1.378e-5
-0.077, 1.374e-5
-0.079, 1.371e-5
-0.081, 1.367e-5
-0.083, 1.363e-5
-0.085, 1.360e-5
-0.087, 1.356e-5
-0.089, 1.353e-5
-0.091, 1.350e-5
-0.093, 1.346e-5
-0.095, 1.343e-5
-0.097, 1.340e-5
-0.099, 1.337e-5
-0.101, 1.333e-5
-0.103, 1.330e-5
-0.105, 1.327e-5
-0.107, 1.324e-5
-0.109, 1.321e-5
-0.111, 1.318e-5
-0.113, 1.315e-5
-0.115, 1.313e-5
-0.117, 1.310e-5
-0.119, 1.307e-5
-0.121, 1.304e-5
-0.123, 1.301e-5
-0.125, 1.299e-5
-0.127, 1.296e-5
-0.129, 1.294e-5
-0.131, 1.291e-5
-0.133, 1.289e-5
-0.135, 1.286e-5
-0.137, 1.284e-5
-0.139, 1.281e-5
-0.141, 1.279e-5
-0.143, 1.277e-5
-0.145, 1.275e-5
-0.147, 1.272e-5
-0.149, 1.270e-5
-0.151, 1.268e-5
-0.153, 1.266e-5
-0.155, 1.264e-5
-0.157, 1.262e-5
-0.159, 1.260e-5
-0.161, 1.258e-5
-0.163, 1.257e-5
-0.165, 1.255e-5
-0.167, 1.253e-5
-0.169, 1.252e-5
-0.171, 1.250e-5
-0.173, 1.250e-5
-0.175, 1.250e-5
-0.177, 1.249e-5
-0.179, 1.248e-5
-0.181, 1.247e-5
-0.183, 1.246e-5
-0.185, 1.245e-5
-0.187, 1.244e-5
-0.189, 1.243e-5
-0.191, 1.243e-5
-0.193, 1.242e-5
-0.195, 1.242e-5
-0.197, 1.242e-5
-0.199, 1.241e-5
-0.199, 1.225e-5
-0.197, 1.209e-5
-0.195, 1.200e-5
-0.193, 1.192e-5
-0.191, 1.186e-5
-0.189, 1.179e-5
-0.187, 1.173e-5
-0.185, 1.168e-5
-0.183, 1.163e-5
-0.181, 1.158e-5
-0.179, 1.153e-5
-0.177, 1.148e-5
-0.175, 1.143e-5
-0.173, 1.139e-5
-0.171, 1.135e-5
-0.169, 1.130e-5
-0.167, 1.126e-5
-0.165, 1.123e-5
-0.163, 1.119e-5
-0.161, 1.115e-5
-0.159, 1.111e-5
-0.157, 1.108e-5
-0.155, 1.104e-5
-0.153, 1.101e-5
-0.151, 1.098e-5
-0.149, 1.094e-5
-0.147, 1.091e-5
-0.145, 1.088e-5
-0.143, 1.085e-5
-0.141, 1.082e-5
-0.139, 1.079e-5
