Sept. 5, 2019   15:17:57
Cyclic Voltammetry
File: c:\users\1\desktop\2019Data Source:  Experiment
Instrument Model:  CHI630E
Header: 
Note: 

Init E (V) = 0.6
High E (V) = 0.6
Low E (V) = -0.2
Init P/N = N
Scan Rate (V/s) = 0.02
Segment = 2
Sample Interval (V) = 0.002
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:
Ep = 0.193V
ip = 7.280e-6A
Ah = 2.579e-5C

Segment 2:
Ep = 0.277V
ip = -7.369e-6A
Ah = -2.585e-5C

Potential/V, Current/A

0.599, -6.869e-7
0.597, -6.347e-7
0.595, -6.026e-7
0.593, -5.757e-7
0.591, -5.518e-7
0.589, -5.298e-7
0.587, -5.090e-7
0.585, -4.898e-7
0.583, -4.716e-7
0.581, -4.546e-7
0.579, -4.380e-7
0.577, -4.225e-7
0.575, -4.082e-7
0.573, -3.940e-7
0.571, -3.812e-7
0.569, -3.693e-7
0.567, -3.568e-7
0.565, -3.449e-7
0.563, -3.333e-7
0.561, -3.221e-7
0.559, -3.115e-7
0.557, -3.012e-7
0.555, -2.911e-7
0.553, -2.814e-7
0.551, -2.720e-7
0.549, -2.631e-7
0.547, -2.537e-7
0.545, -2.446e-7
0.543, -2.363e-7
0.541, -2.281e-7
0.539, -2.197e-7
0.537, -2.124e-7
0.535, -2.047e-7
0.533, -1.971e-7
0.531, -1.899e-7
0.529, -1.827e-7
0.527, -1.762e-7
0.525, -1.699e-7
0.523, -1.631e-7
0.521, -1.572e-7
0.519, -1.509e-7
0.517, -1.446e-7
0.515, -1.384e-7
0.513, -1.323e-7
0.511, -1.267e-7
0.509, -1.211e-7
0.507, -1.151e-7
0.505, -1.095e-7
0.503, -1.040e-7
0.501, -9.865e-8
0.499, -9.353e-8
0.497, -8.843e-8
0.495, -8.334e-8
0.493, -7.813e-8
0.491, -7.293e-8
0.489, -6.821e-8
0.487, -6.325e-8
0.485, -5.894e-8
0.483, -5.376e-8
0.481, -4.905e-8
0.479, -4.465e-8
0.477, -4.049e-8
0.475, -3.555e-8
0.473, -3.181e-8
0.471, -2.751e-8
0.469, -2.318e-8
0.467, -1.875e-8
0.465, -1.438e-8
0.463, -1.032e-8
0.461, -6.200e-9
0.459, -1.820e-9
0.457, 2.111e-9
0.455, 6.184e-9
0.453, 9.966e-9
0.451, 1.399e-8
0.449, 1.829e-8
0.447, 2.190e-8
0.445, 2.623e-8
0.443, 3.050e-8
0.441, 3.463e-8
0.439, 3.837e-8
0.437, 4.227e-8
0.435, 4.595e-8
0.433, 5.022e-8
0.431, 5.406e-8
0.429, 5.806e-8
0.427, 6.240e-8
0.425, 6.627e-8
0.423, 7.033e-8
0.421, 7.435e-8
0.419, 7.863e-8
0.417, 8.299e-8
0.415, 8.704e-8
0.413, 9.151e-8
0.411, 9.631e-8
0.409, 1.007e-7
0.407, 1.053e-7
0.405, 1.098e-7
0.403, 1.146e-7
0.401, 1.198e-7
0.399, 1.246e-7
0.397, 1.299e-7
0.395, 1.354e-7
0.393, 1.411e-7
0.391, 1.470e-7
0.389, 1.531e-7
0.387, 1.596e-7
0.385, 1.664e-7
0.383, 1.725e-7
0.381, 1.802e-7
0.379, 1.876e-7
0.377, 1.957e-7
0.375, 2.039e-7
0.373, 2.124e-7
0.371, 2.209e-7
0.369, 2.308e-7
0.367, 2.408e-7
0.365, 2.518e-7
0.363, 2.630e-7
0.361, 2.751e-7
0.359, 2.877e-7
0.357, 3.005e-7
0.355, 3.153e-7
0.353, 3.306e-7
0.351, 3.466e-7
0.349, 3.638e-7
0.347, 3.819e-7
0.345, 4.009e-7
0.343, 4.216e-7
0.341, 4.438e-7
0.339, 4.673e-7
0.337, 4.922e-7
0.335, 5.186e-7
0.333, 5.459e-7
0.331, 5.758e-7
0.329, 6.076e-7
0.327, 6.417e-7
0.325, 6.773e-7
0.323, 7.161e-7
0.321, 7.572e-7
0.319, 7.995e-7
0.317, 8.466e-7
0.315, 8.965e-7
0.313, 9.484e-7
0.311, 1.004e-6
0.309, 1.062e-6
0.307, 1.125e-6
0.305, 1.190e-6
0.303, 1.259e-6
0.301, 1.332e-6
0.299, 1.411e-6
0.297, 1.493e-6
0.295, 1.581e-6
0.293, 1.671e-6
0.291, 1.768e-6
0.289, 1.870e-6
0.287, 1.977e-6
0.285, 2.088e-6
0.283, 2.205e-6
0.281, 2.324e-6
0.279, 2.453e-6
0.277, 2.584e-6
0.275, 2.721e-6
0.273, 2.863e-6
0.271, 3.010e-6
0.269, 3.160e-6
0.267, 3.315e-6
0.265, 3.476e-6
0.263, 3.642e-6
0.261, 3.808e-6
0.259, 3.981e-6
0.257, 4.156e-6
0.255, 4.329e-6
0.253, 4.504e-6
0.251, 4.684e-6
0.249, 4.865e-6
0.247, 5.043e-6
0.245, 5.221e-6
0.243, 5.396e-6
0.241, 5.570e-6
0.239, 5.743e-6
0.237, 5.910e-6
0.235, 6.075e-6
0.233, 6.234e-6
0.231, 6.388e-6
0.229, 6.530e-6
0.227, 6.672e-6
0.225, 6.807e-6
0.223, 6.933e-6
0.221, 7.051e-6
0.219, 7.163e-6
0.217, 7.262e-6
0.215, 7.353e-6
0.213, 7.437e-6
0.211, 7.513e-6
0.209, 7.579e-6
0.207, 7.637e-6
0.205, 7.685e-6
0.203, 7.724e-6
0.201, 7.758e-6
0.199, 7.783e-6
0.197, 7.799e-6
0.195, 7.809e-6
0.193, 7.812e-6
0.191, 7.805e-6
0.189, 7.796e-6
0.187, 7.782e-6
0.185, 7.762e-6
0.183, 7.736e-6
0.181, 7.706e-6
0.179, 7.671e-6
0.177, 7.633e-6
0.175, 7.592e-6
0.173, 7.547e-6
0.171, 7.501e-6
0.169, 7.454e-6
0.167, 7.402e-6
0.165, 7.347e-6
0.163, 7.294e-6
0.161, 7.239e-6
0.159, 7.181e-6
0.157, 7.122e-6
0.155, 7.064e-6
0.153, 7.005e-6
0.151, 6.946e-6
0.149, 6.888e-6
0.147, 6.830e-6
0.145, 6.773e-6
0.143, 6.714e-6
0.141, 6.657e-6
0.139, 6.600e-6
0.137, 6.544e-6
0.135, 6.491e-6
0.133, 6.436e-6
0.131, 6.381e-6
0.129, 6.327e-6
0.127, 6.273e-6
0.125, 6.221e-6
0.123, 6.170e-6
0.121, 6.121e-6
0.119, 6.072e-6
0.117, 6.022e-6
0.115, 5.974e-6
0.113, 5.928e-6
0.111, 5.883e-6
0.109, 5.839e-6
0.107, 5.795e-6
0.105, 5.753e-6
0.103, 5.712e-6
0.101, 5.670e-6
0.099, 5.630e-6
0.097, 5.591e-6
0.095, 5.552e-6
0.093, 5.513e-6
0.091, 5.477e-6
0.089, 5.440e-6
0.087, 5.405e-6
0.085, 5.370e-6
0.083, 5.337e-6
0.081, 5.304e-6
0.079, 5.271e-6
0.077, 5.239e-6
0.075, 5.208e-6
0.073, 5.177e-6
0.071, 5.147e-6
0.069, 5.117e-6
0.067, 5.088e-6
0.065, 5.061e-6
0.063, 5.032e-6
0.061, 5.005e-6
0.059, 4.979e-6
0.057, 4.953e-6
0.055, 4.928e-6
0.053, 4.903e-6
0.051, 4.878e-6
0.049, 4.854e-6
0.047, 4.830e-6
0.045, 4.807e-6
0.043, 4.784e-6
0.041, 4.762e-6
0.039, 4.739e-6
0.037, 4.717e-6
0.035, 4.697e-6
0.033, 4.676e-6
0.031, 4.656e-6
0.029, 4.636e-6
0.027, 4.617e-6
0.025, 4.597e-6
0.023, 4.578e-6
0.021, 4.560e-6
0.019, 4.542e-6
0.017, 4.525e-6
0.015, 4.507e-6
0.013, 4.490e-6
0.011, 4.473e-6
0.009, 4.456e-6
0.007, 4.440e-6
0.005, 4.424e-6
0.003, 4.409e-6
0.001, 4.393e-6
-0.001, 4.378e-6
-0.003, 4.363e-6
-0.005, 4.350e-6
-0.007, 4.336e-6
-0.009, 4.322e-6
-0.011, 4.308e-6
-0.013, 4.294e-6
-0.015, 4.281e-6
-0.017, 4.267e-6
-0.019, 4.254e-6
-0.021, 4.241e-6
-0.023, 4.229e-6
-0.025, 4.216e-6
-0.027, 4.204e-6
-0.029, 4.192e-6
-0.031, 4.180e-6
-0.033, 4.169e-6
-0.035, 4.157e-6
-0.037, 4.147e-6
-0.039, 4.135e-6
-0.041, 4.125e-6
-0.043, 4.114e-6
-0.045, 4.104e-6
-0.047, 4.094e-6
-0.049, 4.084e-6
-0.051, 4.073e-6
-0.053, 4.064e-6
-0.055, 4.055e-6
-0.057, 4.046e-6
-0.059, 4.036e-6
-0.061, 4.028e-6
-0.063, 4.019e-6
-0.065, 4.010e-6
-0.067, 4.001e-6
-0.069, 3.994e-6
-0.071, 3.985e-6
-0.073, 3.977e-6
-0.075, 3.969e-6
-0.077, 3.961e-6
-0.079, 3.954e-6
-0.081, 3.947e-6
-0.083, 3.940e-6
-0.085, 3.933e-6
-0.087, 3.926e-6
-0.089, 3.919e-6
-0.091, 3.912e-6
-0.093, 3.907e-6
-0.095, 3.901e-6
-0.097, 3.896e-6
-0.099, 3.891e-6
-0.101, 3.886e-6
-0.103, 3.880e-6
-0.105, 3.874e-6
-0.107, 3.868e-6
-0.109, 3.863e-6
-0.111, 3.858e-6
-0.113, 3.854e-6
-0.115, 3.849e-6
-0.117, 3.845e-6
-0.119, 3.841e-6
-0.121, 3.837e-6
-0.123, 3.833e-6
-0.125, 3.830e-6
-0.127, 3.827e-6
-0.129, 3.824e-6
-0.131, 3.821e-6
-0.133, 3.819e-6
-0.135, 3.817e-6
-0.137, 3.814e-6
-0.139, 3.813e-6
-0.141, 3.811e-6
-0.143, 3.810e-6
-0.145, 3.809e-6
-0.147, 3.808e-6
-0.149, 3.808e-6
-0.151, 3.807e-6
-0.153, 3.807e-6
-0.155, 3.807e-6
-0.157, 3.808e-6
-0.159, 3.809e-6
-0.161, 3.810e-6
-0.163, 3.812e-6
-0.165, 3.816e-6
-0.167, 3.818e-6
-0.169, 3.821e-6
-0.171, 3.825e-6
-0.173, 3.828e-6
-0.175, 3.833e-6
-0.177, 3.839e-6
-0.179, 3.844e-6
-0.181, 3.851e-6
-0.183, 3.858e-6
-0.185, 3.866e-6
-0.187, 3.875e-6
-0.189, 3.884e-6
-0.191, 3.894e-6
-0.193, 3.905e-6
-0.195, 3.917e-6
-0.197, 3.930e-6
-0.199, 3.945e-6
-0.199, 3.809e-6
-0.197, 3.679e-6
-0.195, 3.609e-6
-0.193, 3.553e-6
-0.191, 3.505e-6
-0.189, 3.461e-6
-0.187, 3.422e-6
-0.185, 3.385e-6
-0.183, 3.351e-6
-0.181, 3.319e-6
-0.179, 3.288e-6
-0.177, 3.258e-6
-0.175, 3.231e-6
-0.173, 3.204e-6
-0.171, 3.178e-6
-0.169, 3.154e-6
-0.167, 3.131e-6
-0.165, 3.108e-6
-0.163, 3.086e-6
-0.161, 3.064e-6
-0.159, 3.043e-6
-0.157, 3.023e-6
-0.155, 3.003e-6
-0.153, 2.985e-6
-0.151, 2.968e-6
-0.149, 2.950e-6
-0.147, 2.933e-6
-0.145, 2.917e-6
-0.143, 2.901e-6
-0.141, 2.886e-6
-0.139, 2.871e-6
